Gender,SPED,Gifted,Ethnicity,ED,EOG7,Fall MAP,Winter MAP,Spring MAP
male,yes,no,hispanic,yes,451,209,213,209
female,no,no,white,yes,451,224,217,
male,no,no,white,no,457,200,215,211
female,yes,no,white,yes,469,204,215,215
female,yes,no,white,no,477,212,218,208
female,yes,no,white,no,485,200,214,210
male,yes,no,white,yes,485,222,214,227
male,no,no,white,yes,486,220,225,228
male,no,no,white,yes,489,214,226,218
male,yes,no,white,yes,492,215,225,227
male,no,no,white,yes,514,212,225,247
male,yes,no,multi,yes,492,226,226,230
female,no,no,white,no,492,215,221,
male,no,no,white,no,496,214,223,216
female,no,no,white,no,503,226,233,230
female,no,no,white,yes,503,225,229,232
male,no,no,white,yes,503,216,235,233
female,no,no,asian,no,503,221,227,236
male,no,no,white,no,503,236,246,245
male,yes,no,white,yes,503,216,228,
male,no,no,white,no,505,225,232,231
male,no,no,white,no,505,224,224,235
male,yes,no,white,yes,507,219,220,225
female,no,no,white,yes,507,230,228,228
male,yes,no,white,yes,507,218,226,
female,no,no,hispanic,yes,509,225,229,231
female,no,no,white,no,509,223,222,
female,no,no,hispanic,no,509,220,224,
male,yes,no,white,no,510,209,223,218
female,yes,no,white,yes,510,210,225,220
male,yes,no,white,no,513,208,225,224
male,yes,no,white,yes,514,226,229,231
female,no,no,white,no,514,235,228,231
female,no,no,white,yes,516,228,233,232
female,no,no,white,yes,516,223,223,232
male,no,no,white,yes,516,225,222,234
female,no,no,white,no,516,223,237,237
male,no,no,white,yes,517,226,236,225
female,yes,no,white,yes,517,219,232,238
male,no,no,white,yes,517,n/a,218,
male,no,no,white,no,520,222,228,234
male,no,no,white,no,521,227,223,223
female,no,no,white,no,521,229,236,231
male,yes,no,white,yes,521,222,244,233
male,yes,no,white,no,524,217,223,228
female,no,no,white,no,524,218,233,229
male,no,no,white,yes,524,239,228,233
male,no,no,white,no,527,n/a,243,245
male,no,no,white,no,527,227,237,250
female,no,no,white,no,528,232,230,232
male,no,no,white,no,528,230,230,235
female,no,no,white,yes,531,237,227,226
male,yes,no,white,yes,531,221,231,226
female,no,no,white,no,531,221,230,227
female,no,no,white,no,531,211,224,235
female,no,no,white,no,531,226,236,236
female,no,no,white,yes,531,225,234,239
male,no,no,white,yes,535,235,238,229
male,no,no,white,yes,535,227,235,232
male,no,no,white,yes,535,232,236,234
female,no,no,white,no,535,233,240,236
male,no,no,white,no,535,230,236,239
female,no,no,white,yes,535,229,239,240
male,no,no,white,no,535,226,240,247
male,no,no,white,yes,539,222,238,233
male,no,no,white,no,539,226,236,245
female,no,yes,white,no,542,240,249,236
male,no,yes,white,no,546,221,234,236
male,yes,no,white,no,546,236,240,238
female,no,no,white,no,547,219,221,219
male,no,no,white,yes,547,236,238,239
male,no,no,hispanic,yes,547,232,239,239
male,no,no,white,yes,550,239,235,247
male,no,no,white,yes,550,243,242,258
male,no,no,white,yes,551,238,249,239
male,no,no,white,no,551,225,239,245
female,no,yes,white,no,551,240,252,247
male,no,no,white,no,554,249,252,248
male,no,no,white,no,556,237,242,243
male,yes,no,white,no,563,228,229,238
female,no,yes,multi,yes,563,245,240,239
male,no,no,white,no,563,239,246,241
male,no,no,white,no,563,233,246,247
male,no,no,white,no,563,236,254,253
female,no,yes,white,no,567,237,242,246
male,no,no,white,no,569,247,241,247
male,no,yes,white,no,574,238,246,238
male,no,no,white,no,574,241,239,246
male,no,yes,white,no,579,248,249,251
female,no,no,white,yes,582,232,238,247
female,no,yes,white,no,585,243,244,250
male,no,no,white,no,585,240,248,253
female,no,yes,white,yes,585,251,249,254
male,no,no,white,no,588,241,239,250
female,no,yes,white,yes,588,255,248,259
female,no,no,white,yes,590,229,243,238
female,no,no,white,yes,590,n/a,240,
male,no,no,white,no,594,244,256,256
female,no,no,white,no,600,247,251,256
female,no,yes,white,yes,603,247,254,248
male,no,yes,white,yes,608,246,244,246
female,no,yes,white,no,608,238,247,250
male,no,no,white,yes,608,242,252,253
female,no,no,white,yes,652,244,244,239
female,no,no,white,yes,652,243,254,257
male,no,yes,white,no,672,268,276,275
female,no,no,white,no,n/a,n/a,236,237
female,no,no,white,no,n/a,230,n/a,240
female,no,no,white,no,n/a,231,245,242
female,no,yes,white,yes,n/a,n/a,241,246
male,no,no,white,no,n/a,232,237,246
male,no,no,white,,,,,221
