Gender,Gifted?,BM1,BM2,BM3,BM3 - BM2,EOG,EOG level,EOC,EOC level,Δ level,EOC grade,Equations,Expressions,Functions,Statistics,,,,,,,,,,
M,N,29,47,63,16,546,3,587,3,0,90,2,3,3,3,,,Gifted,Regular,Total,,,,,
F,Y,39,53,70,17,607,4,587,3,-1,90,3,3,2,3,,Male,3,11,14,,,,,
F,Y,32,63,67,4,605,4,616,4,0,93,3,3,3,3,,Female,11,7,18,,,,,
M,N,23,63,68,5,613,4,548,3,-1,84,3,2,3,2,,Total,14,18,32,,,,,
F,Y,45,63,90,27,605,4,625,4,0,93,3,3,3,3,,,,,,,,,,
F,N,68,73,80,7,637,4,601,4,0,92,3,2,3,3,,Benchmark 2,,,,,EOG,,,
F,N,58,53,70,17,593,4,570,3,-1,87,2,3,3,2,,,Gifted,Regular,Total,,,Gifted,Regular,Total
F,N,61,60,67,7,575,3,608,4,1,93,3,3,3,3,,Male,56.7,52.1,53.1,,Male,611.3,576.5,583.9
F,Y,61,0,67,67,616,4,548,3,-1,84,2,2,3,2,,Female,51.7,60.9,55.3,,Female,607.7,604.7,606.6
M,N,55,33,60,27,542,3,524,2,-1,79,1,1,2,1,,Total,52.8,55.5,54.3,,Total,608.5,587.4,596.7
M,N,32,43,53,10,558,3,528,3,0,80,2,2,2,2,,,,,,,,,,
M,N,45,63,70,7,622,4,607,4,0,93,3,3,3,3,,Benchmark 3,,,,,EOC,,,
M,N,52,57,70,13,542,3,563,3,0,86,2,3,2,2,,,Gifted,Regular,Total,,,Gifted,Regular,Total
M,N,68,63,77,14,607,4,587,3,-1,90,3,3,2,2,,Male,55.7,64.1,62.3,,Male,550.7,569.6,565.6
F,N,45,60,73,13,582,4,575,3,-1,88,2,3,3,3,,Female,71.8,73.0,72.3,,Female,588.5,590.1,589.2
M,N,65,67,83,16,637,4,624,4,0,93,3,2,3,3,,Total,68.4,67.6,67.9,,Total,580.4,577.6,578.8
M,N,65,40,67,27,600,4,601,4,0,92,3,3,3,3,,,,,,,,,,
M,Y,58,33,40,7,587,4,489,2,-2,71,1,1,1,1,,Growth (BM3 - BM2),,,,,Growth (EOC - EOG),,,
F,Y,39,33,70,37,558,3,543,3,0,83,3,3,1,2,,,Gifted,Regular,Total,,,Gifted,Regular,Total
F,Y,55,60,77,17,593,4,506,2,-2,75,1,1,1,2,,Male,-1.0,12.0,9.2,,Male,-60.7,-6.8,-18.4
F,Y,61,60,80,20,647,4,659,4,0,95,3,3,3,3,,Female,20.1,12.1,17.0,,Female,-19.2,-14.6,-17.4
M,N,35,40,47,7,512,2,534,3,1,81,3,2,1,2,,Total,15.6,12.1,13.6,,Total,-28.1,-9.8,-17.8
F,Y,65,60,70,10,633,4,608,4,0,93,3,3,3,3,,,,,,,,,,
F,N,77,77,87,10,671,4,645,4,0,94,3,3,3,3,,Percent in Level (EOG7),,,,,,Δ level,#,%
M,Y,58,70,57,-13,647,4,548,3,-1,84,2,3,1,2,,,Level 1,Level 2,Level 3,Level 4,,-2,2,6.3%
M,N,39,57,47,-10,562,3,563,3,0,86,2,3,2,2,,Male,0.0%,7.1%,35.7%,57.1%,,-1,9,28.1%
F,N,52,47,57,10,562,3,563,3,0,86,3,3,2,2,,Female,0.0%,0.0%,22.2%,77.8%,,0,19,59.4%
F,N,39,56,77,21,613,4,569,3,-1,87,3,3,2,2,,Total,0.0%,3.1%,28.1%,68.8%,,1,2,6.3%
M,Y,48,67,70,3,600,4,615,4,0,93,3,3,3,2,,,,,,,,,,
F,Y,52,70,73,3,625,4,634,4,0,94,3,3,3,3,,Percent in Level (EOC),,,,,,,,
F,Y,48,40,63,23,571,3,554,3,0,85,2,3,2,3,,,Level 1,Level 2,Level 3,Level 4,,,,
F,Y,71,67,63,-4,625,4,594,4,0,92,3,3,3,3,,Male,0.0%,14.3%,57.1%,28.6%,,,,
,,,,,,,,,,,,,,,,,Female,0.0%,5.6%,44.4%,50.0%,,,,
,,51.3,54.3,67.9,13.6,596.7,3.7,578.8,3.3,-0.3,87.7,2.53,2.63,2.41,2.44,,Total,0.0%,9.4%,50.0%,40.6%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Percent in Level (EOG7),,,,,,,,
,,,,,,,,,,,,,,,,,,Level 1,Level 2,Level 3,Level 4,,,,
,,,,,,,,,,,,,,,,,Regular,0.0%,5.6%,38.9%,55.6%,,,,
,,,,,,,,,,,,,,,,,Gifted,0.0%,0.0%,14.3%,85.7%,,,,
,,,,,,,,,,,,,,,,,Total,0.0%,3.1%,28.1%,68.8%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Percent in Level (EOC),,,,,,,,
,,,,,,,,,,,,,,,,,,Level 1,Level 2,Level 3,Level 4,,,,
,,,,,,,,,,,,,,,,,Regular,0.0%,5.6%,61.1%,33.3%,,,,
,,,,,,,,,,,,,,,,,Gifted,0.0%,14.3%,35.7%,50.0%,,,,
,,,,,,,,,,,,,,,,,Total,0.0%,9.4%,50.0%,40.6%,,,,
