Gender,SPED?,504?,Gifted?,BM1,BM2,BM3,BM3 - BM1,EOG7,EOG7 level,EOG8,EOG8 level,Δ level,EE,AF,G,SP,,,,,,,,,,
M,N,N,N,43,77,90,47,550,3,569,3,0,3,2,3,3,,,SPED,Regular,Total,,,,,
M,N,N,N,37,60,63,26,501,2,512,2,0,1,1,2,3,,Male,11,27,38,,,,,
M,N,N,N,57,30,57,0,527,3,508,2,-1,1,1,2,1,,Female,3,13,16,,,,,
M,N,N,Y,50,50,90,40,593,4,587,4,0,2,3,3,3,,Total,14,40,54,,,,,
M,N,N,N,47,63,77,30,520,2,530,3,1,2,1,2,3,,,,,,,,,,
F,N,N,N,n/a,60,60,n/a,487,2,497,2,0,1,1,1,2,,Benchmark 1,,,,,EOG7,,,
M,N,Y,N,20,73,73,53,505,2,530,3,1,2,2,2,2,,,SPED,Regular,Total,,,SPED,Regular,Total
F,N,Y,Y,33,53,57,24,502,2,516,2,0,2,1,1,2,,Male,22.9,39.5,34.3,,Male,460.6,535.7,514.5
F,N,N,N,23,73,67,44,566,3,512,2,-1,2,1,1,2,,Female,32.0,36.2,35.3,,Female,462.7,509.6,500.2
M,N,N,N,30,67,87,57,523,2,530,3,1,2,1,2,3,,Total,25.0,38.4,34.7,,Total,461.1,526.7,510.0
F,N,N,N,53,60,70,17,505,2,542,3,1,2,2,1,2,,,,,,,,,,
F,N,N,N,47,n/a,87,40,538,3,551,3,0,1,3,2,3,,Benchmark 3,,,,,EOG8,,,
F,N,N,N,43,53,63,20,471,1,484,2,1,1,1,1,2,,,SPED,Regular,Total,,,SPED,Regular,Total
M,N,N,N,30,63,47,17,523,2,490,2,0,1,1,1,2,,Male,61.1,73.6,69.9,,Male,480.1,538.5,521.1
F,N,N,N,30,67,83,53,527,3,523,2,-1,2,2,1,1,,Female,59.7,71.0,68.6,,Female,481.3,511.1,505.5
M,N,N,N,17,73,70,53,467,1,538,3,2,3,2,1,2,,Total,60.8,72.8,69.6,,Total,480.4,529.4,516.4
M,N,N,N,n/a,n/a,53,n/a,n/a,n/a,487,2,n/a,1,1,1,2,,,,,,,,,,
