Class,Gender,Ethnicity,Absences,SPED?,504?,ED?,SST?,Gifted?,Scale Score,Achievement Level,"Numbers, Expressions, and Equations",Algebra and Functions,Geometry,Statistics and Probability,Norm-Referenced Score
1,M,W,19,N,N,Y,N,N,591,4,2,3,3,3,94
1,F,W,6,N,N,N,N,N,498,2,1,1,1,1,69
1,M,W,3,N,N,N,Y,N,546,3,3,2,2,2,92
1,M,W,9,N,N,N,N,N,486,2,1,1,1,2,54
1,F,W,11,N,N,N,N,N,589,4,3,3,3,3,97
1,F,W,8,N,N,N,N,N,520,2,1,2,1,2,71
1,F,W,19,N,N,Y,N,N,591,4,3,3,3,3,97
1,M,W,14,N,N,N,N,N,554,3,2,2,3,3,80
1,F,W,8,N,N,N,N,N,523,2,1,2,1,2,80
1,M,W,11,N,N,Y,N,N,550,3,2,3,2,2,99
1,F,W,15,N,N,Y,N,N,516,2,2,2,1,3,85
1,F,W,12,N,N,Y,N,N,510,2,1,1,1,2,81
1,M,W,8,N,N,Y,Y,N,520,2,2,1,2,2,85
1,F,W,4,N,N,N,N,N,486,2,1,1,1,1,66
1,M,W,0,N,N,N,N,N,501,2,1,1,1,1,45
1,M,W,2,N,N,N,N,N,563,3,2,3,3,3,99
1,F,W,4,N,Y,Y,Y,N,464,1,1,1,1,1,59
1,M,W,13,N,N,Y,N,N,494,2,1,1,2,1,45
1,F,W,3,N,Y,Y,N,N,496,2,2,1,1,2,63
1,F,H,2,N,N,Y,Y,N,482,2,1,1,1,2,2
2,F,W,30,Y,N,Y,N,N,464,1,1,1,1,1,52
2,M,H,19,Y,N,Y,N,N,542,3,3,1,3,2,86
2,F,W,2,Y,N,N,N,N,464,1,1,1,1,1,52
2,F,H,3,Y,N,Y,N,N,467,1,1,1,1,2,43
2,M,W,32,Y,N,N,N,N,459,1,1,1,1,1,5
2,M,W,24,Y,N,Y,N,N,483,2,1,1,1,1,16
2,M,W,13,Y,N,N,N,N,421,1,1,1,1,1,12
2,F,W,9,Y,N,Y,N,N,476,2,1,1,1,1,67
2,F,W,23,Y,N,N,N,N,468,1,1,1,1,1,44
