StudentID,Course,Grade,Section_Grade
STU711,English I Honors,9,96.67
STU711,French II Honors,9,87.92
STU711,Computer Science Principles AP,9,86.02
STU711,Chemistry,9,88.89
STU711,Human Geography AP,9,88.49
STU563,English I Honors,9,87.92
STU563,Spanish II Honors,9,81.27
STU563,Geometry,9,82.39
STU563,Computer Science Principles AP,9,82.9
STU563,Chemistry,9,87.88
STU563,Modern World Honors: 1750 to the Present,9,91.86
STU744,English I Honors,9,94.39
STU744,Latin I Honors,9,98.5
STU744,Pre-Calculus Honors,9,94.03
STU744,Computer Science Principles AP,9,97.21
STU744,Chemistry Honors,9,95.32
STU744,World History AP,9,96.53
STU681,English I Honors,9,95.77
STU681,Spanish II Honors,9,97.21
STU681,Geometry,9,93.42
STU681,Chemistry,9,93.77
STU681,Human Geography AP,9,91.03
STU69,English I Honors,9,84.2
STU69,Spanish II Honors,9,90.59
STU69,Geometry,9,91.25
STU69,Computer Science Principles AP,9,84.8
STU69,Chemistry,9,89.56
STU69,Human Geography AP,9,87.88
STU362,English I Honors,9,98.24
STU362,Spanish IV Honors - Heritage Speakers,9,99.86
STU362,Geometry Honors,9,94.78
STU362,Computer Science Principles AP,9,96.61
STU362,Chemistry Honors,9,98.74
STU362,World History AP,9,98.78
STU289,English I Honors,9,93.56
STU289,Spanish II,9,94.96
STU289,Geometry Honors,9,86.7
STU289,Chemistry,9,99.52
STU289,Human Geography AP,9,92.77
STU504,English I Honors,9,94.53
STU504,Latin I Honors,9,95.8
STU504,Geometry,9,91.8
STU504,Chemistry,9,90.76
STU504,Human Geography AP,9,90.66
STU429,English I Honors,9,93.07
STU429,French II Honors,9,91.32
STU429,Geometry,9,94.6
STU429,Chemistry Honors,9,83.36
STU429,Human Geography AP,9,91.18
STU526,English I Honors,9,91.8
STU526,Spanish II Honors,9,95.4
STU526,Geometry Honors,9,90.61
STU526,Chemistry Honors,9,91.84
STU526,Human Geography AP,9,94.59
STU380,English I Honors,9,96.65
STU380,Spanish IV Honors - Heritage Speakers,9,98.56
STU380,Geometry Honors,9,88.33
STU380,Computer Science Principles AP,9,94.63
STU380,Chemistry Honors,9,85.05
STU380,Human Geography AP,9,94.75
STU546,English I Honors,9,87.71
STU546,"Great Decisions, Character, and Consequences",9,100
STU546,Spanish II,9,96.66
STU546,Geometry Honors,9,81.43
STU546,Chemistry,9,90.88
STU546,Human Geography AP,9,90.12
STU703,English I Honors,9,87.05
STU703,French II Honors,9,87.48
STU703,Geometry Honors,9,77.69
STU703,Chemistry Honors,9,79.24
STU703,World History AP,9,86.53
STU643,English I Honors,9,97.41
STU643,Latin I Honors,9,98.5
STU643,Pre-Calculus Honors,9,94.19
STU643,Computer Science Principles AP,9,99.46
STU643,Chemistry Honors,9,97.01
STU643,Human Geography AP,9,94.55
STU714,English I Honors,9,92.5
STU714,Spanish II Honors,9,94.24
STU714,Geometry Honors,9,88.02
STU714,Chemistry,9,98.06
STU714,World History AP,9,96.73
STU156,English I Honors,9,84.36
STU156,Chinese II,9,90.78
STU156,Geometry,9,92.43
STU156,Chemistry,9,90.74
STU156,Human Geography AP,9,83.47
STU775,English I Honors,9,97.02
STU775,Spanish II,9,97.31
STU775,Geometry Honors,9,96.2
STU775,Chemistry Honors,9,97.59
STU775,World History AP,9,100.41
STU348,English I Honors,9,96.56
STU348,Spanish II Honors,9,90.58
STU348,Geometry Honors,9,97.28
STU348,Computer Science Principles AP,9,98.83
STU348,Chemistry Honors,9,93.57
STU348,World History AP,9,98.98
STU735,English I Honors,9,94.6
STU735,Chinese II Honors,9,97.6
STU735,Geometry Honors,9,91.28
STU735,Chemistry Honors,9,86.54
STU735,World History AP,9,92.86
STU673,English I Honors,9,93.21
STU673,"Great Decisions, Character, and Consequences",9,100
STU673,Chinese II Honors,9,93.85
STU673,Geometry,9,92.53
STU673,Chemistry,9,97.59
STU673,Human Geography AP,9,91.21
STU407,English I Honors,9,93.56
STU407,French III Honors,9,85.56
STU407,Geometry,9,93.1
STU407,Chemistry,9,92.34
STU407,Human Geography AP,9,91.32
STU373,English I Honors,9,85.66
STU373,Spanish II,9,92.73
STU373,Geometry,9,92.31
STU373,Computer Science Principles AP,9,94.14
STU373,Chemistry,9,88.59
STU373,Modern World Honors: 1750 to the Present,9,90.03
STU705,English I Honors,9,95.36
STU705,Spanish II Honors,9,93.21
STU705,Geometry,9,84.02
STU705,Chemistry,9,96.26
STU705,Human Geography AP,9,86.68
STU361,English I Honors,9,97.67
STU361,Spanish II Honors,9,94.32
STU361,Geometry Honors,9,96.51
STU361,Chemistry Honors,9,90.71
STU361,World History AP,9,98.37
STU319,English I Honors,9,83.8
STU319,Spanish IV Honors - Heritage Speakers,9,96.41
STU319,Geometry,9,79.1
STU319,Chemistry,9,87.5
STU319,Human Geography AP,9,81.53
STU498,English I Honors,9,89.83
STU498,Chinese II Honors,9,90.25
STU498,Geometry Honors,9,89.77
STU498,Chemistry Honors,9,81.56
STU498,Human Geography AP,9,91.11
STU807,English I Honors,9,95.15
STU807,Latin I Honors,9,88.26
STU807,Geometry,9,87.92
STU807,Computer Science Principles AP,9,90.02
STU807,Chemistry,9,96.98
STU807,Human Geography AP,9,91.71
STU736,English I Honors,9,97.62
STU736,Spanish II Honors,9,97.95
STU736,Geometry Honors,9,91.13
STU736,Chemistry Honors,9,95.84
STU736,World History AP,9,97.96
STU257,English I Honors,9,93.18
STU257,Spanish II Honors,9,95.56
STU257,Geometry Honors,9,94.83
STU257,Chemistry Honors,9,92.77
STU257,World History AP,9,89.18
STU707,English I Honors,9,91.62
STU707,Spanish II Honors,9,87.53
STU707,Geometry Honors,9,87.19
STU707,Computer Science Principles AP,9,97.69
STU707,Chemistry Honors,9,90.57
STU707,Human Geography AP,9,89.08
STU209,English I Honors,9,94.65
STU209,Spanish II Honors,9,90.47
STU209,Geometry Honors,9,89.66
STU209,Chemistry Honors,9,86.54
STU209,Human Geography AP,9,81.55
STU693,English I Honors,9,94.71
STU693,Latin I Honors,9,99.25
STU693,Geometry Honors,9,91.6
STU693,Computer Science Principles AP,9,96.38
STU693,Chemistry Honors,9,89.39
STU693,Human Geography AP,9,94.84
STU812,English I Honors,9,93.12
STU812,Spanish II Honors,9,93.4
STU812,Geometry,9,94.84
STU812,Computer Science Principles AP,9,89.95
STU812,Chemistry,9,97.08
STU812,Human Geography AP,9,92.14
STU19,English I Honors,9,97.18
STU19,Latin I Honors,9,98.35
STU19,Geometry,9,92.29
STU19,Computer Science Principles AP,9,87.7
STU19,Chemistry,9,94.07
STU19,Human Geography AP,9,89.4
STU820,English I Honors,9,87.7
STU820,Spanish II,9,87.25
STU820,Geometry,9,85
