Period,SPED?,Sex,Race,Algebraic Fundementals,Operations on Real Numbers & Algebraic Expressions,Solving Equations & Inequalities,Functions & their Graphs,Connections & Applications,Raw Score,Grade,Pass?
2,N,F,B,4,3,2,1,3,527,44,N
7,N,M,W,5,6,7,5,2,573,61,N
5,Y,F,B,5,7,8,3,2,571,60,N
2,N,F,W,3,6,5,3,3,555,54,N
5,Y,M,W,6,7,7,8,6,599,69,N
6,N,M,W,3,7,6,1,4,560,56,N
2,Y,M,W,8,6,10,7,7,610,77,Y
6,N,M,W,7,7,8,12,6,612,78,Y
6,N,F,W,4,7,8,4,4,579,63,N
7,N,M,W,5,9,8,8,6,602,71,Y
6,N,M,W,7,7,12,12,6,623,85,Y
5,N,F,B,7,12,9,8,5,615,80,Y
6,N,F,W,4,7,8,10,5,599,69,N
5,Y,F,W,2,8,5,6,3,568,59,N
7,N,F,W,5,9,9,4,4,590,67,N
5,Y,M,B,3,5,7,5,4,569,59,N
2,Y,F,W,8,10,9,6,6,610,77,Y
2,Y,M,W,5,2,5,4,2,549,52,N
5,N,F,W,7,9,7,8,7,610,77,Y
2,N,M,W,6,4,9,5,5,585,65,N
2,N,M,H,7,8,8,6,5,596,69,N
5,Y,M,B,7,6,6,6,6,588,66,N
5,N,F,W,6,4,9,7,6,591,67,N
6,N,M,W,10,8,8,9,6,615,80,Y
6,N,M,W,3,5,6,7,3,568,59,N
6,N,M,B,3,7,7,4,3,568,59,N
2,N,M,W,6,6,9,7,5,596,69,N
2,N,M,B,6,3,4,6,4,565,58,N
5,Y,F,B,3,3,3,2,3,533,47,N
5,N,F,W,7,9,14,9,7,633,90,Y
6,N,M,W,4,5,6,3,1,551,53,N
5,N,F,W,5,3,7,2,4,558,55,N
2,Y,M,W,3,5,4,5,1,549,52,N
2,N,M,W,7,7,8,9,10,618,82,Y
7,N,M,W,7,8,5,6,8,596,69,N
5,N,F,W,4,5,3,3,2,545,51,N
6,N,M,W,9,15,12,9,7,651,91,Y
5,N,F,W,9,5,6,7,5,591,67,N
5,N,F,B,7,5,7,4,3,576,62,N
2,N,F,B,4,11,9,6,3,596,69,N
5,Y,F,B,3,7,6,4,2,561,56,N
2,N,M,W,9,10,9,8,7,620,83,Y
5,Y,M,W,5,2,5,1,4,545,51,N
2,N,F,W,5,4,5,4,3,560,56,N
5,N,F,B,5,8,12,8,5,607,75,Y
5,N,M,W,7,9,6,7,5,599,69,N
7,N,M,W,6,5,8,9,5,596,69,N
2,N,F,W,7,4,10,5,5,588,66,N
2,N,F,W,6,8,6,6,7,596,69,N
5,N,F,W,4,9,7,6,5,588,66,N
2,N,F,H,5,7,6,9,5,591,67,N
6,N,F,W,3,6,10,9,4,591,67,N
5,N,F,B,8,14,12,7,7,639,90,Y
5,N,F,B,7,8,9,8,5,604,73,Y
2,N,M,B,7,7,10,8,4,605,73,Y
6,N,F,B,7,9,6,7,4,596,69,N
2,N,M,W,5,3,7,8,3,574,61,N
7,N,M,W,8,6,13,9,7,620,83,Y
2,Y,M,H,4,6,7,7,6,585,65,N
7,N,F,W,7,8,7,6,4,593,68,N
2,N,M,W,8,7,8,6,6,602,71,Y
5,N,F,W,8,7,9,8,4,605,73,Y
5,N,M,W,8,9,7,10,10,623,85,Y
5,Y,F,W,8,7,11,9,6,618,82,Y
6,N,M,B,8,2,7,4,7,582,64,N
6,N,F,B,8,12,5,12,8,626,87,Y
7,N,F,B,7,7,7,8,2,588,66,N
2,N,F,W,6,10,10,7,8,615,80,Y
6,N,F,W,3,9,4,10,7,594,68,N
5,Y,F,B,4,10,9,5,4,591,61,N
6,N,M,B,5,5,6,4,1,560,56,N
7,N,M,B,4,5,9,5,6,585,65,N
2,N,M,B,9,6,5,10,5,602,71,Y
6,N,M,W,9,12,8,11,8,639,90,Y
7,N,F,W,6,6,7,6,2,579,63,N
2,Y,M,W,4,8,5,6,4,577,62,N
2,N,M,W,5,10,9,8,8,612,78,Y
5,Y,F,B,5,4,7,4,2,563,57,N
2,N,M,W,4,9,7,5,5,588,66,N
5,N,F,W,7,5,6,8,7,594,68,N
5,N,M,B,7,7,8,9,5,605,73,Y
2,N,F,B,5,12,6,8,5,602,71,Y
5,N,F,W,7,8,6,8,7,602,71,Y
2,N,M,B,3,6,5,8,5,579,63,N
5,N,M,W,5,2,5,6,4,563,57,N
7,N,F,W,9,8,11,5,6,610,77,Y
7,N,F,W,4,6,4,3,3,556,55,N
,,,,,,,,,,,
,,,,5.8,7.0,7.4,6.5,4.9,589.7,67.7,34.5%
