StudentID,Course,Grade,Section_Grade,Course_Type
STU100,Artificial Intelligence Post-AP,12,97,Computer Science
STU12,Artificial Intelligence Post-AP,12,96.36,Computer Science
STU155,Data Structures Post-AP,12,93.04,Computer Science
STU187,Data Structures Post-AP,11,97.45,Computer Science
STU198,Artificial Intelligence Post-AP,12,98.53,Computer Science
STU215,Data Structures Post-AP,12,95.35,Computer Science
STU217,Data Structures Post-AP,11,95.2,Computer Science
STU223,Data Structures Post-AP,11,89.88,Computer Science
STU225,Data Structures Post-AP,11,90.35,Computer Science
STU227,Artificial Intelligence Post-AP,12,97.88,Computer Science
STU232,Data Structures Post-AP,12,92.26,Computer Science
STU240,Data Structures Post-AP,11,98.05,Computer Science
STU3,Data Structures Post-AP,11,96.39,Computer Science
STU32,Data Structures Post-AP,11,95.5,Computer Science
STU344,Data Structures Post-AP,11,90.76,Computer Science
STU352,Data Structures Post-AP,12,90.1,Computer Science
STU360,Data Structures Post-AP,11,80.83,Computer Science
STU377,Artificial Intelligence Post-AP,12,95.42,Computer Science
STU401,Data Structures Post-AP,11,97.75,Computer Science
STU418,Data Structures Post-AP,11,94.45,Computer Science
STU426,Data Structures Post-AP,10,92.35,Computer Science
STU441,Data Structures Post-AP,12,87.26,Computer Science
STU447,Data Structures Post-AP,12,94.75,Computer Science
STU467,Data Structures Post-AP,11,88.12,Computer Science
STU484,Data Structures Post-AP,11,97,Computer Science
STU489,Artificial Intelligence Post-AP,12,96.74,Computer Science
STU503,Data Structures Post-AP,12,95.05,Computer Science
STU511,Data Structures Post-AP,12,91.45,Computer Science
STU518,Data Structures Post-AP,11,98.35,Computer Science
STU52,Artificial Intelligence Post-AP,12,97.18,Computer Science
STU522,Artificial Intelligence Post-AP,12,99.05,Computer Science
STU524,Artificial Intelligence Post-AP,12,96.31,Computer Science
STU529,Artificial Intelligence Post-AP,12,98.88,Computer Science
STU554,Data Structures Post-AP,12,90.37,Computer Science
STU557,Data Structures Post-AP,11,87.4,Computer Science
STU569,Data Structures Post-AP,11,87.83,Computer Science
STU579,Data Structures Post-AP,11,98.2,Computer Science
STU587,Data Structures Post-AP,11,88.45,Computer Science
STU64,Data Structures Post-AP,11,95.95,Computer Science
STU669,Data Structures Post-AP,11,98.8,Computer Science
STU67,Data Structures Post-AP,12,93.31,Computer Science
STU686,Data Structures Post-AP,12,96.4,Computer Science
STU699,Artificial Intelligence Post-AP,12,70.63,Computer Science
STU70,Artificial Intelligence Post-AP,12,96.96,Computer Science
STU715,Data Structures Post-AP,12,91.06,Computer Science
STU721,Data Structures Post-AP,11,93.89,Computer Science
STU722,Artificial Intelligence Post-AP,12,97.01,Computer Science
STU725,Data Structures Post-AP,11,93.85,Computer Science
STU728,Artificial Intelligence Post-AP,12,97.46,Computer Science
STU763,Data Structures Post-AP,11,83.86,Computer Science
STU799,Artificial Intelligence Post-AP,12,89.68,Computer Science
STU82,Data Structures Post-AP,11,93.7,Computer Science
STU88,Artificial Intelligence Post-AP,12,97.07,Computer Science
