StudentID,Course,Grade,Section_Grade,Course_Type
STU1,English Language and Composition AP,11,92.83,English
STU10,English Language and Composition AP,11,87.43,English
STU100,English Literature and Composition AP,12,92.47,English
STU101,English Literature and Composition AP,11,91.18,English
STU102,Shakespeare Post-AP,12,95.31,English
STU103,Women Writers Post-AP,12,96.61,English
STU104,English I Honors,9,96.56,English
STU105,English Literature and Composition AP,11,92.98,English
STU106,English II Honors,10,85.08,English
STU107,English Literature and Composition AP,12,76.25,English
STU108,English II Honors,10,90.86,English
STU109,English I Honors,9,96.65,English
STU11,Shakespeare Post-AP,12,95.57,English
STU110,English I Honors,9,84.92,English
STU111,English Language and Composition AP,11,86.94,English
STU112,Talented Writers Program III Honors,12,93.04,English
STU113,English Language and Composition AP,10,94.9,English
STU114,English I Honors,9,92.59,English
STU115,English Language and Composition AP,10,95.15,English
STU116,On The Fringe: Marginalized Voices in Literature Post-AP,12,92.89,English
STU117,English Literature and Composition AP,11,94.73,English
STU118,English Literature and Composition AP,12,74.82,English
STU119,English Language and Composition AP,10,94.26,English
STU12,Mythology Classical and World Literature Post-AP,12,95.7,English
STU120,English Literature and Composition AP,12,90,English
STU121,English Language and Composition AP,11,91.64,English
STU122,English Literature and Composition AP,11,92.3,English
STU123,English Literature and Composition AP,12,76.77,English
STU124,English Language and Composition AP,10,95.54,English
STU125,English Language and Composition AP,11,89.45,English
STU126,English Literature and Composition AP,11,88.82,English
STU127,English II Honors,10,92.36,English
STU128,English Language and Composition AP,11,90.49,English
STU129,English Literature and Composition AP,11,97.6,English
STU13,English Literature and Composition AP,12,69.39,English
STU130,Shakespeare Post-AP,12,96.82,English
STU131,English Literature and Composition AP,11,97.59,English
STU132,English Literature and Composition AP,12,90.32,English
STU133,Mythology Classical and World Literature Post-AP,12,92.68,English
STU134,English Literature and Composition AP,12,93.1,English
STU135,English II Honors,10,85.27,English
STU136,English Language and Composition AP,10,92.88,English
STU137,English Language and Composition AP,11,90.71,English
STU138,English Language and Composition AP,10,92.73,English
STU139,English Literature and Composition AP,12,93.19,English
STU14,English Language and Composition AP,10,95.61,English
STU140,English II Honors,10,87.28,English
STU141,English Literature and Composition AP,12,95.58,English
STU142,English Literature and Composition AP,12,86.78,English
STU143,English Literature and Composition AP,12,93.93,English
STU144,English I Honors,9,89.69,English
STU145,Shakespeare Post-AP,12,94.59,English
STU146,English II Honors,10,82.37,English
STU147,Mythology Classical and World Literature Post-AP,12,94.21,English
STU148,English II Honors,10,88.32,English
STU149,English Literature and Composition AP,12,95.61,English
STU15,English Literature and Composition AP,11,94.13,English
STU150,English Literature and Composition AP,12,84.65,English
STU151,Women Writers Post-AP,12,95.25,English
STU152,English Language and Composition AP,10,95.58,English
STU153,Women Writers Post-AP,12,98.64,English
STU154,English Language and Composition AP,11,93.77,English
STU155,English Literature and Composition AP,12,93.13,English
STU156,English I Honors,9,84.36,English
STU157,Women Writers Post-AP,12,95.79,English
STU158,On The Fringe: Marginalized Voices in Literature Post-AP,12,99.15,English
STU159,English II Honors,10,91.02,English
STU16,English Literature and Composition AP,12,94.15,English
STU160,English Literature and Composition AP,12,94.01,English
STU161,English Literature and Composition AP,11,95.54,English
STU162,Women Writers Post-AP,12,94.24,English
STU163,English Language and Composition AP,10,89.55,English
STU163,Talented Writers Program I Honors,10,91.25,English
STU164,English Literature and Composition AP,12,88.37,English
STU165,English Literature and Composition AP,12,90.02,English
STU166,English Language and Composition AP,10,89.58,English
STU167,English Literature and Composition AP,11,95.7,English
STU168,English Literature and Composition AP,11,96.1,English
STU169,English I Honors,9,98.5,English
STU17,English Language and Composition AP,11,85.18,English
STU170,English Literature and Composition AP,12,89.72,English
STU171,Mythology Classical and World Literature Post-AP,12,97.99,English
STU172,Mythology Classical and World Literature Post-AP,12,96.02,English
STU173,English Literature and Composition AP,12,68.8,English
STU174,English Literature and Composition AP,12,88.3,English
STU175,English Literature and Composition AP,12,78.18,English
STU176,English Literature and Composition AP,11,93.46,English
STU177,English Language and Composition AP,10,93.67,English
STU178,On The Fringe: Marginalized Voices in Literature Post-AP,12,96.6,English
