StudentID,Course,Grade,Section_Grade,Course_Type
STU123,Social Entrepreneurship III Advanced,12,88.79,Entrepreneurship
STU176,Social Entrepreneurship II Advanced,11,95.96,Entrepreneurship
STU202,Social Entrepreneurship III Advanced,12,93.17,Entrepreneurship
STU224,Social Entrepreneurship III Advanced,12,94.58,Entrepreneurship
STU229,Social Entrepreneurship II Advanced,11,93.42,Entrepreneurship
STU236,Social Entrepreneurship I Honors,10,96.44,Entrepreneurship
STU246,Social Entrepreneurship III Advanced,12,96.29,Entrepreneurship
STU248,Social Entrepreneurship I Honors,10,96.89,Entrepreneurship
STU26,Social Entrepreneurship III Advanced,12,91.81,Entrepreneurship
STU267,Social Entrepreneurship I Honors,10,94.59,Entrepreneurship
STU290,Social Entrepreneurship III Advanced,12,97.38,Entrepreneurship
STU297,Social Entrepreneurship I Honors,10,99.46,Entrepreneurship
STU312,Social Entrepreneurship II Advanced,11,94.65,Entrepreneurship
STU317,Social Entrepreneurship I Honors,10,96.22,Entrepreneurship
STU336,Social Entrepreneurship II Advanced,11,97.93,Entrepreneurship
STU343,Social Entrepreneurship II Advanced,11,98.11,Entrepreneurship
STU368,Social Entrepreneurship II Advanced,11,97.82,Entrepreneurship
STU37,Social Entrepreneurship III Advanced,12,90.96,Entrepreneurship
STU377,Social Entrepreneurship III Advanced,12,96.29,Entrepreneurship
STU391,Social Entrepreneurship II Advanced,11,93.64,Entrepreneurship
STU426,Social Entrepreneurship I Honors,10,97.21,Entrepreneurship
STU43,Social Entrepreneurship I Honors,10,96.89,Entrepreneurship
STU461,Social Entrepreneurship II Advanced,11,94.95,Entrepreneurship
STU471,Social Entrepreneurship II Advanced,11,98.04,Entrepreneurship
STU499,Social Entrepreneurship II Advanced,11,97.45,Entrepreneurship
STU583,Social Entrepreneurship II Advanced,11,96.15,Entrepreneurship
STU607,Social Entrepreneurship I Honors,10,99.05,Entrepreneurship
STU638,Social Entrepreneurship I Honors,10,98.38,Entrepreneurship
STU689,Social Entrepreneurship III Advanced,12,92.75,Entrepreneurship
STU692,Social Entrepreneurship II Advanced,11,94.11,Entrepreneurship
STU706,Social Entrepreneurship I Honors,10,99.37,Entrepreneurship
STU708,Social Entrepreneurship III Advanced,12,93.38,Entrepreneurship
STU709,Social Entrepreneurship III Advanced,12,94.89,Entrepreneurship
STU712,Social Entrepreneurship I Honors,10,96.17,Entrepreneurship
STU728,Social Entrepreneurship III Advanced,12,94.6,Entrepreneurship
STU748,Social Entrepreneurship II Advanced,11,96.76,Entrepreneurship
STU758,Social Entrepreneurship II Advanced,11,96.47,Entrepreneurship
STU766,Social Entrepreneurship II Advanced,11,95.93,Entrepreneurship
STU772,Social Entrepreneurship I Honors,10,99.82,Entrepreneurship
STU79,Social Entrepreneurship III Advanced,12,97.23,Entrepreneurship
STU813,Social Entrepreneurship I Honors,10,100,Entrepreneurship
STU815,Social Entrepreneurship I Honors,10,97.21,Entrepreneurship
STU825,Social Entrepreneurship I Honors,10,95.5,Entrepreneurship
STU836,Social Entrepreneurship I Honors,10,99.19,Entrepreneurship
STU90,Social Entrepreneurship III Advanced,12,93.42,Entrepreneurship
