StudentID,Course,Grade,Section_Grade,Course_Type
STU1,Spanish Literature and Culture AP,11,92.81,Foreign Language
STU10,Spanish IV Honors,11,97.26,Foreign Language
STU100,Spanish Language and Culture AP,12,93.4,Foreign Language
STU101,Spanish IV Honors,11,90.07,Foreign Language
STU102,Spanish Literature and Culture AP,12,94.73,Foreign Language
STU103,Chinese Language and Culture AP,12,93.21,Foreign Language
STU104,Latin I Honors,9,99.49,Foreign Language
STU105,Spanish IV Honors,11,97.93,Foreign Language
STU106,Latin II Honors,10,91.25,Foreign Language
STU107,Spanish V Honors,12,88.85,Foreign Language
STU108,Spanish III Honors,10,95.28,Foreign Language
STU109,Spanish II Honors,9,94.59,Foreign Language
STU11,Spanish Language and Culture AP,12,97.3,Foreign Language
STU110,Spanish II Honors,9,87.72,Foreign Language
STU111,Spanish IV,11,89.06,Foreign Language
STU112,French Language and Culture AP,12,91.43,Foreign Language
STU113,Latin II Honors,10,99.07,Foreign Language
STU115,Spanish III Honors,10,94.8,Foreign Language
STU116,Spanish V Honors,12,92.31,Foreign Language
STU117,Spanish IV Honors,11,97.29,Foreign Language
STU118,Latin IV Honors,12,81.71,Foreign Language
STU119,Latin II Honors,10,98.88,Foreign Language
STU12,Spanish Language and Culture AP,12,95.65,Foreign Language
STU120,French Language and Culture AP,12,87.32,Foreign Language
STU121,Spanish Literature and Culture AP,11,82.42,Foreign Language
STU121,French IV Honors,11,80.24,Foreign Language
STU122,Spanish IV Honors,11,91.88,Foreign Language
STU123,Spanish: 20th Century Latin American Literature Post-AP,12,87.04,Foreign Language
STU124,Spanish III Honors,10,95.74,Foreign Language
STU125,Spanish IV Honors,11,90.06,Foreign Language
STU126,Spanish IV,11,89.74,Foreign Language
STU127,Spanish III,10,89.78,Foreign Language
STU128,Spanish IV,11,88.94,Foreign Language
STU129,French IV Honors,11,96.91,Foreign Language
STU13,Latin AP,12,88.48,Foreign Language
STU130,Spanish Language and Culture AP,12,97.3,Foreign Language
STU131,Spanish IV Honors,11,99.12,Foreign Language
STU133,Chinese Language and Culture AP,12,87.07,Foreign Language
STU134,Chinese Language and Culture AP,12,87.02,Foreign Language
STU135,Chinese III,10,90.43,Foreign Language
STU136,Spanish III Honors,10,93.89,Foreign Language
STU137,Spanish IV,11,94.99,Foreign Language
STU138,Latin II Honors,10,99.98,Foreign Language
STU139,Spanish Language and Culture AP,12,92.5,Foreign Language
STU14,Spanish III Honors,10,95.84,Foreign Language
STU140,Spanish III,10,95.14,Foreign Language
STU141,Spanish V Honors,12,95.21,Foreign Language
STU142,Spanish V Honors,12,88.59,Foreign Language
STU143,Spanish V Honors,12,93.52,Foreign Language
STU144,Spanish II Honors,9,90.73,Foreign Language
STU145,Spanish Language and Culture AP,12,88.15,Foreign Language
STU146,Latin II Honors,10,88.75,Foreign Language
STU147,Spanish Literature and Culture AP,12,90.89,Foreign Language
STU148,Spanish III Honors,10,84.76,Foreign Language
STU149,Spanish Literature and Culture AP,12,91.2,Foreign Language
STU15,Chinese IV Honors,11,97.12,Foreign Language
STU150,Spanish Language and Culture AP,12,94.76,Foreign Language
STU151,Spanish Literature and Culture AP,12,88.49,Foreign Language
STU152,French III Honors,10,91.74,Foreign Language
STU153,Spanish Literature and Culture AP,12,98.91,Foreign Language
STU154,Spanish IV Honors,11,96.96,Foreign Language
STU155,Spanish IV,12,92.33,Foreign Language
STU156,Chinese II,9,90.78,Foreign Language
STU157,Spanish Language and Culture AP,12,95.5,Foreign Language
STU158,Spanish V Honors,12,97.57,Foreign Language
STU159,Spanish III,10,94.3,Foreign Language
STU16,Latin AP,12,89.82,Foreign Language
STU160,Spanish Language and Culture AP,12,94.91,Foreign Language
STU161,French IV Honors,11,92.8,Foreign Language
STU162,Chinese Language and Culture AP,12,91.31,Foreign Language
STU163,Chinese III Honors,10,90.31,Foreign Language
STU164,Spanish Language and Culture AP,12,91.3,Foreign Language
STU165,Spanish IV,12,83.59,Foreign Language
STU166,Spanish II,10,92.64,Foreign Language
STU167,French IV Honors,11,91.91,Foreign Language
STU168,Latin III Honors,11,97.17,Foreign Language
STU169,Latin I Honors,9,98.55,Foreign Language
STU17,Spanish IV,11,81.1,Foreign Language
STU170,Latin AP,12,89.34,Foreign Language
STU171,Chinese Language and Culture AP,12,98.34,Foreign Language
STU172,Spanish Literature and Culture AP,12,94.8,Foreign Language
STU173,Spanish V Honors,12,73.61,Foreign Language
STU174,Spanish IV,12,91.92,Foreign Language
STU175,Chinese Language and Culture AP,12,90.23,Foreign Language
STU176,Chinese IV Honors,11,93.52,Foreign Language
STU177,Chinese III,10,98.02,Foreign Language
