StudentID,Course,Grade,Section_Grade,Course_Type
STU1,Microeconomics AP,11,92.38,Humanities
STU10,Government and Politics: United States AP,11,88.88,Humanities
STU100,European History AP,12,93.96,Humanities
STU101,European History AP,11,94.79,Humanities
STU102,European History AP,12,96.2,Humanities
STU103,European History AP,12,93.53,Humanities
STU104,Human Geography AP,9,94.93,Humanities
STU105,European History AP,11,95.58,Humanities
STU105,Government and Politics: United States AP,11,96,Humanities
STU106,United States History Honors,10,89.27,Humanities
STU107,Art History AP,12,92.03,Humanities
STU108,United States History AP,10,82.88,Humanities
STU109,World History AP,9,89.8,Humanities
STU11,European History AP,12,97.62,Humanities
STU110,Human Geography AP,9,86.9,Humanities
STU111,European History AP,11,86.56,Humanities
STU112,Art History AP,12,96.54,Humanities
STU113,United States History AP,10,93.47,Humanities
STU114,Human Geography AP,9,90.14,Humanities
STU115,United States History AP,10,92.71,Humanities
STU116,European History AP,12,86.56,Humanities
STU117,European History AP,11,94.17,Humanities
STU118,European History AP,12,77.55,Humanities
STU118,Microeconomics AP,12,63.81,Humanities
STU119,United States History AP,10,86.95,Humanities
STU12,Microeconomics AP,12,95.33,Humanities
STU120,Art History AP,12,94.54,Humanities
STU121,European History AP,11,89.61,Humanities
STU122,European History AP,11,91.64,Humanities
STU123,Microeconomics AP,12,80.24,Humanities
STU124,United States History AP,10,95.08,Humanities
STU125,European History AP,11,89.65,Humanities
STU126,European History AP,11,93.88,Humanities
STU128,European History AP,11,87.17,Humanities
STU129,European History AP,11,98.33,Humanities
STU13,European History AP,12,81.71,Humanities
STU131,Government and Politics: United States AP,11,98.33,Humanities
STU132,Art History AP,12,94.99,Humanities
STU132,European History AP,12,86.85,Humanities
STU133,Microeconomics AP,12,85.94,Humanities
STU134,European History AP,12,83.74,Humanities
STU135,United States History Honors,10,89.91,Humanities
STU136,United States History AP,10,94.79,Humanities
STU137,Government and Politics: United States AP,11,93.82,Humanities
STU138,United States History AP,10,92.31,Humanities
STU139,Microeconomics AP,12,85.27,Humanities
STU14,United States History AP,10,95.25,Humanities
STU140,Holocaust History Honors,10,97.8,Humanities
STU141,Microeconomics AP,12,95.93,Humanities
STU142,Microeconomics AP,12,74.06,Humanities
STU143,Government and Politics: United States AP,12,90.32,Humanities
STU144,Human Geography AP,9,90.49,Humanities
STU145,European History AP,12,88.29,Humanities
STU146,United States History Honors,10,83.93,Humanities
STU146,Holocaust History Honors,10,90.15,Humanities
STU147,Microeconomics AP,12,87.65,Humanities
STU148,United States History Honors,10,90.37,Humanities
STU149,Government and Politics: United States AP,12,94.69,Humanities
STU15,European History AP,11,99.05,Humanities
STU15,Government and Politics: United States AP,11,97.22,Humanities
STU150,Government and Politics: United States AP,12,80.86,Humanities
STU151,European History AP,12,90.09,Humanities
STU152,United States History AP,10,93.39,Humanities
STU153,European History AP,12,100,Humanities
STU155,World History AP,12,93.88,Humanities
STU156,Human Geography AP,9,83.47,Humanities
STU157,World History AP,12,99.59,Humanities
STU158,European History AP,12,93.59,Humanities
STU158,Microeconomics AP,12,89.1,Humanities
STU159,United States History Honors,10,91.07,Humanities
STU16,Microeconomics AP,12,87.46,Humanities
STU160,Microeconomics AP,12,94.53,Humanities
STU163,United States History Honors,10,91.19,Humanities
STU164,Microeconomics AP,12,87.64,Humanities
STU165,Microeconomics AP,12,82.87,Humanities
STU166,United States History AP,10,91.03,Humanities
STU167,European History AP,11,95.9,Humanities
STU167,Government and Politics: United States AP,11,94.39,Humanities
STU168,European History AP,11,98.75,Humanities
STU169,World History AP,9,96.73,Humanities
STU17,European History AP,11,77.92,Humanities
STU170,Art History AP,12,88.95,Humanities
STU172,European History AP,12,96.02,Humanities
STU173,Microeconomics AP,12,65.63,Humanities
STU174,Art History AP,12,95.81,Humanities
STU175,Microeconomics AP,12,82.46,Humanities
STU176,Government and Politics: United States AP,11,96.35,Humanities
STU177,United States History Honors,10,97.82,Humanities
STU177,Holocaust History Honors,10,99.92,Humanities
STU178,European History AP,12,92.7,Humanities
STU179,United States History AP,11,82.82,Humanities
STU179,Government and Politics: United States AP,11,86.79,Humanities
STU180,Microeconomics AP,12,91.26,Humanities
STU181,European History AP,12,82.57,Humanities
STU181,Government and Politics: United States AP,12,91.57,Humanities
STU182,Human Geography AP,9,85.32,Humanities
STU183,European History AP,12,85.32,Humanities
STU184,United States History AP,10,96.27,Humanities
STU185,European History AP,11,89.53,Humanities
STU186,Microeconomics AP,12,86.72,Humanities
STU187,Microeconomics AP,11,96.01,Humanities
STU188,Human Geography AP,9,90.35,Humanities
STU19,Human Geography AP,9,89.4,Humanities
STU190,European History AP,11,97.41,Humanities
STU191,European History AP,11,90.56,Humanities
STU191,Microeconomics AP,11,93.82,Humanities
STU193,Human Geography AP,9,89.47,Humanities
STU194,European History AP,11,98.57,Humanities
STU195,European History AP,11,95.82,Humanities
STU196,European History AP,11,91.85,Humanities
STU197,World History AP,9,97.96,Humanities
STU198,European History AP,12,92.76,Humanities
STU199,European History AP,11,94.42,Humanities
STU20,Modern World Honors: 1750 to the Present,9,90.9,Humanities
STU200,Art History AP,11,95.68,Humanities
STU203,Art History AP,12,87.74,Humanities
