StudentID,Course,Grade,Section_Grade,Course_Type
STU1,Calculus AB AP,11,95.64,Math
STU10,Pre-Calculus Honors,11,86.87,Math
STU100,Calculus AB AP,12,90.86,Math
STU101,Pre-Calculus,11,93.55,Math
STU102,Calculus BC AP,12,97.58,Math
STU103,Calculus BC AP,12,90.78,Math
STU104,Geometry Honors,9,90.75,Math
STU105,Pre-Calculus,11,96.7,Math
STU106,Geometry,10,81.7,Math
STU107,Calculus I Honors,12,83.94,Math
STU108,Pre-Calculus Honors,10,97.97,Math
STU109,Geometry Honors,9,85.07,Math
STU11,Calculus AB AP,12,91.9,Math
STU110,Geometry,9,85.23,Math
STU111,Pre-Calculus,11,90.35,Math
STU112,Calculus I Honors,12,87.48,Math
STU113,Geometry Honors,10,96.55,Math
STU114,Geometry Honors,9,83.74,Math
STU115,Geometry Honors,10,95.32,Math
STU116,Calculus I Honors,12,92.5,Math
STU117,Calculus AB AP,11,89.66,Math
STU118,Statistics AP,12,80.1,Math
STU119,Calculus AB AP,10,90.4,Math
STU12,Calculus BC AP,12,86.88,Math
STU120,Calculus I Honors,12,88.85,Math
STU121,Pre-Calculus,11,83.38,Math
STU122,Pre-Calculus,11,94.38,Math
STU123,Calculus I Honors,12,93.96,Math
STU124,Pre-Calculus Honors,10,92.64,Math
STU125,Pre-Calculus Honors,11,87.16,Math
STU126,Pre-Calculus,11,87.7,Math
STU127,Geometry,10,84.65,Math
STU128,Pre-Calculus Honors,11,84.75,Math
STU129,Calculus AB AP,11,94.45,Math
STU13,Calculus I Honors,12,89.83,Math
STU130,Multivariable Calculus Post-AP,12,93.5,Math
STU131,Calculus AB AP,11,93.16,Math
STU132,Calculus I Honors,12,98.08,Math
STU133,Calculus AB AP,12,79.75,Math
STU134,Calculus I Honors,12,95.52,Math
STU135,Geometry,10,87.11,Math
STU136,Pre-Calculus Honors,10,88.43,Math
STU137,Pre-Calculus Honors,11,80.41,Math
STU138,Pre-Calculus Honors,10,92.12,Math
STU139,Statistics AP,12,87.64,Math
STU139,Calculus I Honors,12,91.6,Math
STU14,Pre-Calculus Honors,10,95.82,Math
STU140,Geometry Honors,10,80.52,Math
STU141,Calculus AB AP,12,93.4,Math
STU142,Calculus I Honors,12,88.71,Math
STU143,Statistics AP,12,89.05,Math
STU143,Calculus I Honors,12,93.85,Math
STU144,Geometry Honors,9,85.8,Math
STU145,Calculus AB AP,12,83.5,Math
STU146,Geometry,10,83.86,Math
