StudentID,Course,Grade,Section_Grade,Course_Type
STU11,Psychology AP,12,99.22,Psychology
STU110,"Great Decisions, Character, and Consequences",9,100,Psychology
STU111,Psychology AP,11,86.22,Psychology
STU116,Psychology AP,12,90.63,Psychology
STU117,Psychology AP,11,92.68,Psychology
STU122,Psychology AP,11,93.3,Psychology
STU124,Psychology AP,10,95.17,Psychology
STU125,Psychology AP,11,89.09,Psychology
STU126,Psychology AP,11,85.59,Psychology
STU131,Psychology Research and Applications Post-AP,11,100,Psychology
STU145,Psychology Research and Applications Post-AP,12,100,Psychology
STU154,Psychology AP,11,88.67,Psychology
STU16,Psychology AP,12,87.26,Psychology
STU161,Psychology AP,11,95.43,Psychology
STU170,Psychology AP,12,82.56,Psychology
STU174,Psychology Research and Applications Post-AP,12,100,Psychology
STU175,Psychology AP,12,79.82,Psychology
STU18,Psychology AP,11,92.11,Psychology
STU184,Psychology AP,10,93.13,Psychology
STU185,Psychology AP,11,85.98,Psychology
STU186,Psychology AP,12,83.49,Psychology
STU189,Psychology AP,11,79.98,Psychology
STU190,Psychology AP,11,92.91,Psychology
STU195,Psychology AP,11,94.98,Psychology
STU2,Psychology AP,11,78.12,Psychology
STU201,Psychology AP,11,88.17,Psychology
STU202,Psychology Research and Applications Post-AP,12,100,Psychology
STU204,Psychology AP,11,83.28,Psychology
STU21,Psychology AP,11,94.64,Psychology
STU210,Psychology AP,11,92.7,Psychology
STU218,Psychology AP,11,80.15,Psychology
STU22,Psychology AP,11,91.9,Psychology
STU229,Psychology AP,11,83.31,Psychology
STU237,Psychology AP,11,87.16,Psychology
STU254,Psychology AP,10,89.72,Psychology
STU259,Psychology AP,11,82.9,Psychology
STU270,Psychology AP,11,89.19,Psychology
STU272,Psychology AP,11,83.68,Psychology
STU276,Psychology AP,11,86.23,Psychology
STU28,Psychology AP,12,88.91,Psychology
STU280,Psychology AP,10,95.5,Psychology
STU282,Psychology AP,11,75.64,Psychology
STU290,Psychology AP,12,96.26,Psychology
STU292,Psychology AP,11,83.43,Psychology
