StudentID,Course,Grade,Section_Grade,Course_Type
STU111,Anatomy and Physiology Honors,11,83.83,Science
STU119,Anatomy and Physiology Honors,10,92.87,Science
STU123,Anatomy and Physiology Honors,12,91.77,Science
STU126,Anatomy and Physiology Honors,11,91.35,Science
STU13,Anatomy and Physiology Honors,12,82.98,Science
STU136,Anatomy and Physiology Honors,10,94.74,Science
STU138,Anatomy and Physiology Honors,10,97.43,Science
STU143,Anatomy and Physiology Honors,12,90.89,Science
STU150,Anatomy and Physiology Honors,12,79.54,Science
STU161,Anatomy and Physiology Honors,11,96.77,Science
STU192,Anatomy and Physiology Honors,12,95.63,Science
STU196,Anatomy and Physiology Honors,11,92.6,Science
STU199,Anatomy and Physiology Honors,11,97.41,Science
STU204,Anatomy and Physiology Honors,11,85.2,Science
STU207,Anatomy and Physiology Honors,12,77.91,Science
STU211,Anatomy and Physiology Honors,11,92.55,Science
STU213,Anatomy and Physiology Honors,12,83.29,Science
STU214,Anatomy and Physiology Honors,11,92.83,Science
STU233,Anatomy and Physiology Honors,11,92.51,Science
STU235,Anatomy and Physiology Honors,12,89.66,Science
STU259,Anatomy and Physiology Honors,11,84.09,Science
STU272,Anatomy and Physiology Honors,11,82.54,Science
STU282,Anatomy and Physiology Honors,11,87.15,Science
STU287,Anatomy and Physiology Honors,11,99.06,Science
STU29,Anatomy and Physiology Honors,12,84.51,Science
STU292,Anatomy and Physiology Honors,11,89.56,Science
STU305,Anatomy and Physiology Honors,11,97.3,Science
STU31,Anatomy and Physiology Honors,12,81.01,Science
STU310,Anatomy and Physiology Honors,12,86.56,Science
STU313,Anatomy and Physiology Honors,11,95.99,Science
STU331,Anatomy and Physiology Honors,11,92.57,Science
STU338,Anatomy and Physiology Honors,10,93.68,Science
STU342,Anatomy and Physiology Honors,11,89.52,Science
STU383,Anatomy and Physiology Honors,12,87.03,Science
STU397,Anatomy and Physiology Honors,12,91.6,Science
STU440,Anatomy and Physiology Honors,11,91,Science
STU45,Anatomy and Physiology Honors,11,98.26,Science
STU456,Anatomy and Physiology Honors,10,89.98,Science
STU459,Anatomy and Physiology Honors,11,81.7,Science
STU506,Anatomy and Physiology Honors,12,96.5,Science
STU525,Anatomy and Physiology Honors,11,90.43,Science
STU528,Anatomy and Physiology Honors,12,93.28,Science
STU538,Anatomy and Physiology Honors,10,99.42,Science
STU548,Anatomy and Physiology Honors,12,94.38,Science
STU553,Anatomy and Physiology Honors,12,87.64,Science
STU600,Anatomy and Physiology Honors,11,96.7,Science
STU617,Anatomy and Physiology Honors,12,84.42,Science
STU624,Anatomy and Physiology Honors,10,93.8,Science
STU627,Anatomy and Physiology Honors,11,98.43,Science
STU635,Anatomy and Physiology Honors,12,93.24,Science
STU650,Anatomy and Physiology Honors,11,97.58,Science
STU652,Anatomy and Physiology Honors,11,93.23,Science
STU668,Anatomy and Physiology Honors,12,87.61,Science
STU672,Anatomy and Physiology Honors,12,92.91,Science
STU689,Anatomy and Physiology Honors,12,82.54,Science
STU694,Anatomy and Physiology Honors,12,83.01,Science
STU702,Anatomy and Physiology Honors,12,92.56,Science
STU72,Anatomy and Physiology Honors,12,89.63,Science
STU753,Anatomy and Physiology Honors,10,84.24,Science
STU759,Anatomy and Physiology Honors,11,98.33,Science
STU772,Anatomy and Physiology Honors,10,96.53,Science
STU80,Anatomy and Physiology Honors,12,94.26,Science
STU821,Anatomy and Physiology Honors,10,99.87,Science
STU822,Anatomy and Physiology Honors,10,98.76,Science
STU824,Anatomy and Physiology Honors,10,97.91,Science
STU858,Anatomy and Physiology Honors,11,88.44,Science
STU86,Anatomy and Physiology Honors,11,90.46,Science
STU10,Astronomy Honors,11,91.96,Science
STU107,Astronomy Honors,12,82.95,Science
STU13,Astronomy Honors,12,84.03,Science
STU165,Astronomy Honors,12,95.75,Science
STU173,Astronomy Honors,12,84.9,Science
STU192,Astronomy Honors,12,97.53,Science
STU215,Astronomy Honors,12,94.04,Science
STU253,Astronomy Honors,11,94.83,Science
STU268,Astronomy Honors,12,87.75,Science
STU35,Astronomy Honors,11,98.56,Science
STU383,Astronomy Honors,12,84.94,Science
STU409,Astronomy Honors,11,86.89,Science
STU425,Astronomy Honors,12,92.17,Science
STU469,Astronomy Honors,12,91.95,Science
STU494,Astronomy Honors,11,93.82,Science
STU545,Astronomy Honors,12,87.46,Science
STU571,Astronomy Honors,12,93.24,Science
STU630,Astronomy Honors,10,91.64,Science
STU659,Astronomy Honors,12,96.65,Science
STU664,Astronomy Honors,11,91.6,Science
STU702,Astronomy Honors,12,88.75,Science
STU724,Astronomy Honors,12,77.22,Science
STU733,Astronomy Honors,11,96.13,Science
STU738,Astronomy Honors,11,97.77,Science
STU816,Astronomy Honors,11,98.57,Science
STU92,Astronomy Honors,12,85.78,Science
STU95,Astronomy Honors,11,91.6,Science
STU106,Biology,10,86.12,Science
STU127,Biology,10,88.92,Science
STU135,Biology,10,90.99,Science
STU146,Biology,10,85.18,Science
STU148,Biology,10,89.26,Science
STU177,Biology,10,98.67,Science
STU216,Biology,10,85.98,Science
STU234,Biology,10,83.78,Science
STU238,Biology,10,93.17,Science
STU244,Biology,10,92.12,Science
STU245,Biology,10,91.55,Science
STU248,Biology,10,93.47,Science
STU254,Biology,10,93.51,Science
STU265,Biology,10,92.41,Science
STU300,Biology,10,92.84,Science
STU303,Biology,10,80.12,Science
STU304,Biology,10,88.45,Science
STU316,Biology,10,89.54,Science
STU318,Biology,10,93.28,Science
STU326,Biology,10,92.52,Science
STU328,Biology,10,97.72,Science
STU333,Biology,10,92.05,Science
STU366,Biology,10,88.07,Science
STU381,Biology,10,74.08,Science
STU396,Biology,10,87.16,Science
STU4,Biology,10,91.87,Science
STU457,Biology,10,96.51,Science
STU47,Biology,10,94.2,Science
STU480,Biology,10,96.93,Science
STU501,Biology,10,91.54,Science
STU514,Biology,10,88.29,Science
STU539,Biology,10,94.14,Science
STU572,Biology,10,89.51,Science
STU581,Biology,10,90.85,Science
STU582,Biology,10,89.19,Science
STU584,Biology,10,96.13,Science
STU590,Biology,10,91.67,Science
STU6,Biology,10,84.86,Science
STU610,Biology,10,94.25,Science
STU65,Biology,10,91.92,Science
STU653,Biology,10,99.71,Science
STU656,Biology,10,90.93,Science
STU657,Biology,10,95.85,Science
STU658,Biology,10,93.27,Science
STU660,Biology,10,87.02,Science
STU662,Biology,10,91.69,Science
STU675,Biology,10,93.06,Science
STU720,Biology,10,92.01,Science
STU750,Biology,10,91.13,Science
STU751,Biology,10,92.99,Science
STU78,Biology,10,89.15,Science
STU797,Biology,10,85.8,Science
STU825,Biology,10,96.57,Science
STU833,Biology,10,85.54,Science
STU1,Biology AP,11,93.51,Science
STU102,Biology AP,12,96.55,Science
STU116,Biology AP,12,87.7,Science
STU129,Biology AP,11,100.1,Science
STU131,Biology AP,11,93.09,Science
STU132,Biology AP,12,85.9,Science
STU133,Biology AP,12,88.44,Science
STU141,Biology AP,12,92.54,Science
STU15,Biology AP,11,97.81,Science
STU161,Biology AP,11,92.85,Science
STU168,Biology AP,11,96.75,Science
STU174,Biology AP,12,87.67,Science
STU176,Biology AP,11,98.9,Science
STU18,Biology AP,11,94.98,Science
STU183,Biology AP,12,82.54,Science
STU187,Biology AP,11,97.18,Science
STU190,Biology AP,11,92.97,Science
STU192,Biology AP,12,86.73,Science
STU194,Biology AP,11,93.22,Science
STU195,Biology AP,11,92.86,Science
STU200,Biology AP,11,90.08,Science
STU202,Biology AP,12,93.6,Science
STU217,Biology AP,11,93.26,Science
STU221,Biology AP,12,73.82,Science
STU225,Biology AP,11,94.25,Science
STU237,Biology AP,11,94.83,Science
STU240,Biology AP,11,97.38,Science
STU287,Biology AP,11,98.92,Science
STU293,Biology AP,12,86.3,Science
STU3,Biology AP,11,96.78,Science
STU305,Biology AP,11,94.18,Science
STU32,Biology AP,11,94.24,Science
STU331,Biology AP,11,90.8,Science
STU344,Biology AP,11,92.5,Science
STU345,Biology AP,12,86.75,Science
STU349,Biology AP,12,79.92,Science
STU35,Biology AP,11,98.13,Science
STU350,Biology AP,11,93.26,Science
STU358,Biology AP,12,87.7,Science
STU368,Biology AP,11,94.04,Science
STU379,Biology AP,11,96.78,Science
STU392,Biology AP,12,87.47,Science
STU394,Biology AP,11,95.44,Science
STU395,Biology AP,12,87.33,Science
STU397,Biology AP,12,85.62,Science
STU402,Biology AP,11,85.36,Science
STU41,Biology AP,11,94.8,Science
STU414,Biology AP,12,86.5,Science
