id,Gender,Ethnicity,ELL,SWD,ED,SST,Gifted,Absences,Lexile,ELA 21 Scale Score,ELA 21 Level,ELA 21 Pass,ELA 22 Scale Score,ELA 22 Level,ELA 22 Pass,MATH 21 Scale Score,MATH 21 Level,MATH 21 Pass,MATH 22 Scale Score,MATH 22 Level,MATH 22 Pass,SCIE 22 Scale Score,SCIE 22 Level,SCIE 22 Pass,SOCI 22 Scale Score,SOCI 22 Level,SOCI 22 Pass
1,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,2,1155,494,2,1,516,2,1,492,2,1,518,2,1,474,1,0,478,2,1
2,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,40,885,443,1,0,453,1,0,494,2,1,500,2,1,497,2,1,487,2,1
3,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,28,1205,507,2,1,534,3,1,486,2,1,488,2,1,502,2,1,478,2,1
4,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,N,N,N,1,955,455,1,0,464,1,0,472,1,0,469,1,0,413,1,0,464,1,0
5,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,10,1305,525,3,1,552,3,1,494,2,1,482,2,1,475,2,1,473,1,0
6,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,3,1245,598,4,1,534,3,1,538,3,1,507,2,1,569,3,1,549,3,1
7,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,7,1030,453,1,0,485,2,1,455,1,0,496,2,1,480,2,1,482,2,1
8,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,3,1665,683,4,1,617,4,1,726,4,1,649,4,1,604,4,1,543,3,1
9,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,24,1175,539,3,1,534,3,1,512,2,1,499,2,1,491,2,1,496,2,1
10,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,13,1130,498,2,1,532,3,1,500,2,1,496,2,1,481,2,1,506,2,1
11,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,N,N,4,1155,468,1,0,488,2,1,488,2,1,510,2,1,497,2,1,478,2,1
12,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,N,N,N,N,N,13,1190,556,3,1,528,3,1,500,2,1,481,2,1,496,2,1,482,2,1
13,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,10,1245,468,1,0,513,2,1,482,2,1,449,1,0,480,2,1,521,2,1
14,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,25,1010,521,2,1,498,2,1,480,2,1,496,2,1,509,2,1,496,2,1
15,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,8,1205,512,2,1,534,3,1,532,3,1,521,2,1,497,2,1,520,2,1
16,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,34,960,477,2,1,488,2,1,504,2,1,485,2,1,457,1,0,428,1,0
17,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,8,1225,544,3,1,524,2,1,543,3,1,533,3,1,560,3,1,496,2,1
18,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,4,1505,597,4,1,653,4,1,633,4,1,591,4,1,598,3,1,606,4,1
19,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,6,1440,624,4,1,606,4,1,617,4,1,598,4,1,537,3,1,583,4,1
20,FEMALE,Two Or More Races,N,N,N,N,Y,3,1665,614,4,1,587,4,1,580,4,1,573,3,1,610,4,1,558,3,1
21,FEMALE,HISPANIC,Y,N,Y,N,N,2,760,457,1,0,446,1,0,482,2,1,510,2,1,439,1,0,482,2,1
22,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,10,1055,534,3,1,505,2,1,510,2,1,503,2,1,481,2,1,492,2,1
23,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,17,1205,512,2,1,560,3,1,575,3,1,537,3,1,505,2,1,510,2,1
24,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,8,1505,590,3,1,593,4,1,586,4,1,545,3,1,560,3,1,593,4,1
25,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,7,1155,536,3,1,528,3,1,494,2,1,537,3,1,511,2,1,510,2,1
26,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,12,935,468,1,0,485,2,1,450,1,0,489,2,1,445,1,0,440,1,0
27,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,5,1040,481,2,1,506,2,1,524,2,1,537,3,1,521,2,1,492,2,1
28,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,19,1055,480,2,1,498,2,1,469,1,0,474,1,0,513,2,1,482,2,1
29,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,11,1245,550,3,1,544,3,1,492,2,1,537,3,1,572,3,1,482,2,1
30,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,6,1520,556,3,1,596,4,1,528,3,1,493,2,1,475,2,1,538,3,1
31,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,20,1325,550,3,1,560,3,1,556,3,1,579,4,1,556,3,1,544,3,1
32,MALE,HISPANIC,N,N,Y,N,Y,9,1130,589,3,1,528,3,1,625,4,1,590,4,1,571,3,1,551,3,1
33,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,17,1440,541,3,1,560,3,1,516,2,1,541,3,1,524,2,1,521,2,1
34,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,1,1355,544,3,1,563,3,1,561,3,1,598,4,1,617,4,1,590,4,1
35,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,10,1225,562,3,1,541,3,1,530,3,1,533,3,1,578,3,1,543,3,1
36,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,38,1225,525,3,1,532,3,1,540,3,1,533,3,1,572,3,1,544,3,1
37,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,38,1665,598,4,1,617,4,1,532,3,1,584,4,1,581,3,1,566,3,1
38,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,6,1130,525,3,1,520,2,1,557,3,1,545,3,1,496,2,1,556,3,1
39,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,31,1225,531,3,1,552,3,1,530,3,1,541,3,1,541,3,1,516,2,1
40,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,38,1505,575,3,1,585,4,1,512,2,1,504,2,1,526,3,1,520,2,1
41,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,10,1245,515,2,1,544,3,1,552,3,1,550,3,1,569,3,1,537,3,1
42,MALE,ASIAN,N,N,N,N,N,7,1205,531,3,1,534,3,1,540,3,1,573,3,1,556,3,1,551,3,1
43,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,14,915,455,1,0,484,2,1,480,2,1,477,2,1,503,2,1,473,1,0
44,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,3,1030,521,2,1,502,2,1,543,3,1,533,3,1,513,2,1,501,2,1
45,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,N,N,7,980,462,1,0,488,2,1,492,2,1,496,2,1,508,2,1,478,2,1
46,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,10,960,427,1,0,470,1,0,494,2,1,488,2,1,433,1,0,450,1,0
47,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,9,1080,480,2,1,491,2,1,490,2,1,522,2,1,519,2,1,469,1,0
48,MALE,HISPANIC,N,N,Y,N,N,19,1375,526,3,1,580,3,1,528,3,1,517,2,1,553,3,1,537,3,1
49,FEMALE,Two Or More Races,N,N,N,N,Y,0,1355,618,4,1,577,3,1,603,4,1,635,4,1,560,3,1,574,4,1
50,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,6,1305,590,3,1,563,3,1,604,4,1,563,3,1,610,4,1,617,4,1
51,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,1,1115,503,2,1,513,2,1,540,3,1,489,2,1,448,1,0,496,2,1
52,MALE,HISPANIC,N,N,N,N,Y,9,1225,563,3,1,524,2,1,610,4,1,584,4,1,598,3,1,675,4,1
53,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,9,1305,582,3,1,557,3,1,570,3,1,525,3,1,553,3,1,549,3,1
54,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,Y,0,1225,582,3,1,537,3,1,570,3,1,533,3,1,554,3,1,549,3,1
55,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,18,1520,575,3,1,596,4,1,618,4,1,533,3,1,524,2,1,593,4,1
56,MALE,HISPANIC,N,N,Y,Y,N,7,1055,403,1,0,488,2,1,494,2,1,514,2,1,503,2,1,506,2,1
57,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,15,1055,502,2,1,488,2,1,448,1,0,462,1,0,509,2,1,444,1,0
58,FEMALE,HISPANIC,N,N,N,N,N,18,935,485,2,1,488,2,1,512,2,1,500,2,1,445,1,0,468,1,0
59,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,2,1225,562,3,1,541,3,1,532,3,1,504,2,1,469,1,0,527,3,1
60,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,Y,N,28,935,455,1,0,471,1,0,476,2,1,473,1,0,439,1,0,444,1,0
61,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,16,1355,520,2,1,557,3,1,518,2,1,514,2,1,524,2,1,510,2,1
62,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,28,1040,489,2,1,502,2,1,557,3,1,521,2,1,509,2,1,482,2,1
63,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,7,1520,562,3,1,573,3,1,575,3,1,530,3,1,517,2,1,549,3,1
64,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,10,765,502,2,1,451,1,0,473,1,0,493,2,1,405,1,0,454,1,0
65,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,16,935,459,1,0,471,1,0,473,1,0,497,2,1,491,2,1,487,2,1
66,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,23,1225,546,3,1,528,3,1,469,1,0,500,2,1,548,3,1,521,2,1
67,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,10,1520,551,3,1,596,4,1,551,3,1,598,4,1,563,3,1,574,4,1
68,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,13,1325,539,3,1,580,3,1,544,3,1,537,3,1,526,3,1,527,3,1
69,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,6,1520,569,3,1,580,3,1,547,3,1,521,2,1,537,3,1,583,4,1
70,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,25,1130,507,2,1,524,2,1,522,2,1,481,2,1,480,2,1,520,2,1
71,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,15,1305,531,3,1,570,3,1,508,2,1,511,2,1,548,3,1,506,2,1
72,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,2,1325,544,3,1,573,3,1,514,2,1,545,3,1,553,3,1,590,4,1
73,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,24,1355,582,3,1,593,4,1,633,4,1,612,4,1,654,4,1,593,4,1
74,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,9,1325,507,2,1,539,3,1,547,3,1,549,3,1,498,2,1,532,3,1
75,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,20,1260,520,2,1,532,3,1,498,2,1,525,3,1,521,2,1,473,1,0
76,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,1,1645,624,4,1,632,4,1,625,4,1,568,3,1,531,3,1,583,4,1
77,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,5,1520,569,3,1,587,4,1,506,2,1,533,3,1,554,3,1,527,3,1
78,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,0,1040,467,1,0,477,2,1,500,2,1,504,2,1,468,1,0,515,2,1
79,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,7,1145,597,4,1,526,3,1,580,4,1,596,4,1,556,3,1,537,3,1
80,FEMALE,HISPANIC,N,N,N,N,Y,4,1440,539,3,1,580,3,1,530,3,1,558,3,1,498,2,1,556,3,1
81,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,1,1055,476,2,1,495,2,1,486,2,1,496,2,1,548,3,1,469,1,0
82,MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,N,N,12,1040,502,2,1,502,2,1,532,3,1,488,2,1,532,3,1,525,3,1
83,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,14,1225,575,3,1,546,3,1,565,3,1,537,3,1,499,2,1,556,3,1
84,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,22,1280,516,2,1,554,3,1,498,2,1,514,2,1,572,3,1,532,3,1
85,FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,9,1175,569,3,1,560,3,1,532,3,1,507,2,1,546,3,1,531,3,1
