School Year,Course,Gender,Absences,SPED,Gifted,Scale Score,Achievement Level
2018,8th Grade Math,M,13,Y,N,421,0
2018,8th Grade Math,M,32,Y,N,459,0
2018,8th Grade Math,F,4,N,N,464,0
2018,8th Grade Math,F,30,Y,N,464,0
2018,8th Grade Math,F,2,Y,N,464,0
2018,8th Grade Math,F,5,N,N,464,0
2018,8th Grade Math,F,3,Y,N,467,0
2018,8th Grade Math,F,23,Y,N,468,0
2018,8th Grade Math,M,8,Y,N,468,0
2018,8th Grade Math,M,17,N,N,475,1
2018,8th Grade Math,F,9,Y,N,476,1
2018,8th Grade Math,F,2,N,N,476,1
2018,8th Grade Math,F,1,Y,N,479,1
2018,8th Grade Math,F,2,Y,N,479,1
2018,8th Grade Math,F,2,N,N,482,1
2018,8th Grade Math,M,24,Y,N,483,1
2018,8th Grade Math,F,2,Y,N,483,1
2018,8th Grade Math,M,9,N,N,486,1
2018,8th Grade Math,F,4,N,N,486,1
2018,8th Grade Math,F,4,N,N,489,1
2018,8th Grade Math,M,7,N,N,489,1
2018,8th Grade Math,F,4,N,N,491,1
2018,8th Grade Math,M,3,N,N,491,1
2018,8th Grade Math,M,13,N,N,494,1
2018,8th Grade Math,M,14,Y,N,494,1
2018,8th Grade Math,F,3,N,N,496,1
2018,8th Grade Math,F,5,N,N,496,1
2018,8th Grade Math,F,6,N,N,498,1
2018,8th Grade Math,F,5,N,N,498,1
2018,8th Grade Math,M,0,N,N,501,1
2018,8th Grade Math,M,20,N,N,501,1
2018,8th Grade Math,F,,Y,N,501,1
2018,8th Grade Math,F,0,N,N,505,1
2018,8th Grade Math,M,0,N,N,509,1
2018,8th Grade Math,F,2,Y,N,509,1
2018,8th Grade Math,F,12,N,N,510,1
2018,8th Grade Math,F,17,N,N,512,1
2018,8th Grade Math,F,6,N,N,513,1
2018,8th Grade Math,F,16,N,N,513,1
2018,8th Grade Math,F,15,N,N,516,1
2018,8th Grade Math,F,1,N,N,516,1
2018,8th Grade Math,M,16,Y,N,516,1
2018,8th Grade Math,M,8,N,N,517,1
2018,8th Grade Math,M,17,N,N,519,1
2018,8th Grade Math,F,8,N,N,520,1
2018,8th Grade Math,M,8,N,N,520,1
2018,8th Grade Math,F,8,N,N,523,1
2018,8th Grade Math,F,12,N,N,524,1
2018,8th Grade Math,F,20,N,N,527,1
2018,8th Grade Math,M,0,N,N,527,1
2018,8th Grade Math,F,4,N,N,527,1
2018,8th Grade Math,F,8,N,N,527,1
2018,8th Grade Math,M,17,N,N,531,1
2018,8th Grade Math,M,12,N,N,531,1
2018,8th Grade Math,M,0,N,N,531,1
2018,8th Grade Math,M,17,N,N,538,1
2018,8th Grade Math,M,9,N,N,538,1
2018,8th Grade Math,F,15,N,N,538,1
2018,8th Grade Math,F,9,N,N,538,1
2018,8th Grade Math,M,3,N,N,538,1
2018,8th Grade Math,M,8,N,N,538,1
2018,8th Grade Math,M,19,Y,N,542,1
2018,8th Grade Math,M,3,N,N,543,1
2018,8th Grade Math,M,3,N,N,546,1
2018,8th Grade Math,M,2,N,N,546,1
2018,8th Grade Math,M,11,N,N,550,1
2018,8th Grade Math,M,6,N,N,550,1
2018,8th Grade Math,M,24,N,N,550,1
2018,8th Grade Math,M,14,N,N,554,1
2018,8th Grade Math,M,27,N,N,554,1
2018,8th Grade Math,M,7,N,N,558,1
2018,8th Grade Math,M,10,N,N,558,1
2018,8th Grade Math,M,3,N,N,559,1
2018,8th Grade Math,M,2,N,N,563,1
2018,8th Grade Math,M,9,N,N,563,1
2018,8th Grade Math,M,12,Y,N,573,1
2018,8th Grade Math,M,5,N,N,576,1
2018,8th Grade Math,F,11,N,N,589,1
2018,8th Grade Math,M,11,N,N,589,1
2018,8th Grade Math,M,19,N,N,591,1
2018,8th Grade Math,F,19,N,N,591,1
2017,8th Grade Math,M,10,N,N,569,1
2017,8th Grade Math,M,3,N,N,512,1
2017,8th Grade Math,M,12,N,N,508,1
2017,8th Grade Math,M,15,N,Y,587,1
2017,8th Grade Math,M,19,N,N,530,1
2017,8th Grade Math,F,10,N,N,497,1
2017,8th Grade Math,M,14,N,N,530,1
2017,8th Grade Math,F,17,N,Y,516,1
2017,8th Grade Math,F,3,N,N,512,1
2017,8th Grade Math,M,11,N,N,530,1
2017,8th Grade Math,F,9,N,N,542,1
2017,8th Grade Math,F,13,N,N,551,1
2017,8th Grade Math,F,6,N,N,484,1
2017,8th Grade Math,M,5,N,N,490,1
2017,8th Grade Math,F,1,N,N,523,1
2017,8th Grade Math,M,20,N,N,538,1
2017,8th Grade Math,M,6,N,N,487,1
2017,8th Grade Math,F,22,N,N,527,1
2017,8th Grade Math,M,10,N,N,635,1
2017,8th Grade Math,M,4,N,N,564,1
2017,8th Grade Math,M,23,N,N,550,1
2017,8th Grade Math,M,5,N,N,527,1
2017,8th Grade Math,M,14,N,N,516,1
2017,8th Grade Math,M,28,N,N,530,1
2017,8th Grade Math,M,3,N,N,579,1
2017,8th Grade Math,F,3,N,N,483,1
2017,8th Grade Math,M,6,N,N,559,1
2017,8th Grade Math,F,3,N,N,491,1
2017,8th Grade Math,M,17,N,N,516,1
2017,8th Grade Math,M,10,N,N,606,1
2017,8th Grade Math,M,9,N,N,546,1
2017,8th Grade Math,F,11,N,N,505,1
2017,8th Grade Math,M,7,N,N,456,0
2017,8th Grade Math,M,27,N,N,516,1
2017,8th Grade Math,M,2,N,N,505,1
2017,8th Grade Math,F,17,N,N,523,1
2017,8th Grade Math,M,55,N,N,585,1
2017,8th Grade Math,M,15,N,N,530,1
