Gender,SPED,504,Gifted,BM1,BM2,BM3,EOG7,EOG7 level,EOG,EOG level,EE,AF,G,SP
M,N,N,N,43,77,90,550,3,569,3,3,2,3,3
M,N,N,N,37,60,63,501,2,512,2,1,1,2,3
M,N,N,N,57,30,57,527,3,508,2,1,1,2,1
M,N,N,Y,50,50,90,593,4,587,4,2,3,3,3
M,N,N,N,47,63,77,520,2,530,3,2,1,2,3
F,N,N,N,n/a,60,60,487,2,497,2,1,1,1,2
M,N,Y,N,20,73,73,505,2,530,3,2,2,2,2
F,N,Y,Y,33,53,57,502,2,516,2,2,1,1,2
F,N,N,N,23,73,67,566,3,512,2,2,1,1,2
M,N,N,N,30,67,87,523,2,530,3,2,1,2,3
F,N,N,N,53,60,70,505,2,542,3,2,2,1,2
F,N,N,N,47,n/a,87,538,3,551,3,1,3,2,3
F,N,N,N,43,53,63,471,1,484,2,1,1,1,2
M,N,N,N,30,63,47,523,2,490,2,1,1,1,2
F,N,N,N,30,67,83,527,3,523,2,2,2,1,1
M,N,N,N,17,73,70,467,1,538,3,3,2,1,2
M,N,N,N,n/a,n/a,53,n/a,n/a,487,2,1,1,1,2
F,N,Y,N,63,70,67,516,2,527,3,1,2,2,3
M,N,N,N,63,77,93,637,4,635,4,3,3,3,3
M,N,N,N,63,77,87,576,3,564,3,1,3,3,2
M,N,N,N,n/a,67,83,n/a,n/a,550,3,2,1,3,3
M,N,N,N,n/a,n/a,53,n/a,n/a,527,3,2,1,1,2
M,N,N,N,23,63,70,516,2,516,2,1,1,2,2
M,N,N,N,30,77,73,516,2,530,3,2,2,2,2
M,N,N,N,37,87,90,567,3,579,4,3,2,3,3
F,N,N,N,33,53,n/a,501,2,483,2,1,1,1,1
M,N,N,N,57,70,80,558,3,559,3,3,3,2,2
F,N,N,N,33,43,n/a,n/a,n/a,491,2,1,1,1,1
M,N,N,N,n/a,n/a,50,512,2,516,2,2,1,1,3
M,N,N,N,50,80,90,592,4,606,4,3,3,3,3
M,N,N,N,40,70,77,523,2,546,3,2,2,2,2
F,N,N,N,30,63,67,486,2,505,2,2,1,1,1
M,N,Y,N,23,57,60,494,2,456,1,1,1,1,1
M,N,N,N,27,63,80,523,2,516,2,1,1,2,3
M,N,N,N,33,47,83,n/a,n/a,505,2,2,1,1,1
F,N,N,N,23,63,87,538,3,523,2,2,1,2,1
M,N,N,N,63,67,87,586,4,585,4,3,3,3,2
M,N,Y,N,30,77,73,558,3,530,3,3,1,1,1
M,N,N,N,n/a,n/a,50,453,1,n/a,n/a,n/a,n/a,n/a,n/a
F,N,N,N,23,53,73,478,2,490,2,1,1,1,1
M,Y,N,N,13,53,67,419,1,460,1,1,1,1,1
M,Y,N,N,40,43,63,482,2,464,1,1,1,1,2
M,Y,N,N,23,50,67,442,1,475,2,1,1,1,1
M,Y,N,N,7,23,53,n/a,n/a,455,1,1,1,1,1
M,Y,N,N,13,33,30,474,1,460,1,1,1,1,1
M,Y,N,N,n/a,60,73,n/a,n/a,538,3,2,3,1,2
M,Y,N,N,20,23,43,452,1,460,1,1,1,1,1
M,Y,N,N,30,73,83,457,1,487,2,1,1,1,2
F,Y,N,N,43,70,63,482,2,479,2,2,1,1,1
M,Y,N,N,40,63,70,516,2,508,2,1,1,1,2
M,Y,N,N,30,50,73,466,1,523,2,2,1,1,2
F,Y,N,N,33,60,63,457,1,490,2,2,1,1,1
M,Y,N,N,13,53,50,437,1,451,1,1,1,1,1
F,Y,N,N,20,50,53,449,1,475,2,1,1,1,1
,,,,,,,,,,,,,,
,,,,34.7,60.2,69.6,510,2.1,516.4,2.4,1.68,1.47,1.55,1.89
