Reading,ELA,Math,Science,SS,# Exceeds,
864,854,806,820,860,3,
873,817,833,839,837,1,
920,925,923,892,990,5,
888,883,869,858,860,5,
864,850,869,869,893,5,
864,858,855,858,860,5,
851,883,843,843,860,3,
873,858,855,858,919,5,
864,883,923,883,990,5,
888,875,881,960,877,5,
857,858,836,820,833,2,
873,875,889,883,865,5,
873,875,881,846,856,4,
888,883,843,863,943,4,
888,845,855,846,856,3,
857,892,859,863,850,5,
864,850,836,839,851,3,
851,869,836,843,893,3,
873,850,855,883,860,5,
873,905,855,875,904,5,
888,905,897,875,871,5,
832,842,836,846,833,0,
888,850,840,825,856,3,
864,869,833,869,893,4,
873,883,843,833,871,3,
873,845,833,854,860,3,
857,863,851,843,877,4,
920,905,990,960,919,5,
832,845,833,817,827,0,
888,892,869,869,851,5,
851,832,806,820,816,1,
873,863,875,850,850,5,
888,863,875,858,919,5,
873,869,836,825,844,2,
864,892,889,906,893,5,
873,863,840,850,856,4,
920,892,947,960,990,5,
857,858,850,850,851,5,
864,863,869,875,856,5,
920,869,836,850,850,4,
920,892,869,858,851,5,
850,905,875,906,884,5,
842,869,859,836,871,3,
888,863,851,883,865,5,
888,883,836,875,850,4,
873,869,855,846,851,4,
888,892,881,928,893,5,
864,850,821,828,830,2,
920,905,881,875,884,5,
864,869,859,875,865,5,
851,842,827,830,871,2,
864,905,875,854,877,5,
864,858,851,850,871,5,
864,875,851,858,851,5,
850,858,827,854,833,3,
873,875,947,928,871,5,
850,850,864,854,856,5,
851,875,881,836,856,4,
920,842,851,833,851,3,
864,863,889,830,865,4,
842,850,830,825,851,2,
823,838,808,825,824,0,
873,858,864,875,865,5,
888,892,947,863,840,4,
864,883,864,863,865,5,
888,858,836,833,850,3,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
