Gender,Ethnicity,ELL,SWD,ED,SST,Gifted,Absences,Lexile,MATH 21 Scale Score,ELA 21 Scale Score,ELA 22 Pass,MATH 22 Pass,SCIE 22 Pass,SOCI 22 Pass,Subjects Passed,Overall Pass
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,2,1155,492,494,1,1,0,1,3,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,40,885,494,443,0,1,1,1,3,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,28,1205,486,507,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,N,N,N,1,955,472,455,0,0,0,0,0,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,10,1305,494,525,1,1,1,0,3,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,3,1245,538,598,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,7,1030,455,453,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,3,1665,726,683,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,24,1175,512,539,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,13,1130,500,498,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,Y,Y,N,N,4,1155,488,468,1,1,1,1,4,1
FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,N,N,N,N,N,13,1190,500,556,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,Y,N,10,1245,482,468,1,0,1,1,3,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,25,1010,480,521,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,8,1205,532,512,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,34,960,504,477,1,1,0,0,2,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,8,1225,543,544,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,4,1505,633,597,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,6,1440,617,624,1,1,1,1,4,1
FEMALE,Two Or More Races,N,N,N,N,Y,3,1665,580,614,1,1,1,1,4,1
FEMALE,HISPANIC,Y,N,Y,N,N,2,760,482,457,0,1,0,1,2,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,10,1055,510,534,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,17,1205,575,512,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,Y,8,1505,586,590,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,7,1155,494,536,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,Y,N,12,935,450,468,1,1,0,0,2,0
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,Y,N,N,5,1040,524,481,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,19,1055,469,480,1,0,1,1,3,0
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,11,1245,492,550,1,1,1,1,4,1
FEMALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,6,1520,528,556,1,1,1,1,4,1
MALE,"WHITE, NOT OF HISPANIC ORIGIN",N,N,N,N,N,20,1325,556,550,1,1,1,1,4,1
MALE,HISPANIC,N,N,Y,N,Y,9,1130,625,589,1,1,1,1,4,1
