,StudentID,Course,Grade,Section_Grade,Course_Type
0,STU711,English I Honors,9,96.67,English
1,STU711,French II Honors,9,87.92,Foreign Language
2,STU711,Computer Science Principles AP,9,86.02,Computer Science
3,STU711,Chemistry,9,88.89,Science
4,STU711,Human Geography AP,9,88.49,Humanities
5,STU563,English I Honors,9,87.92,English
6,STU563,Spanish II Honors,9,81.27,Foreign Language
7,STU563,Geometry,9,82.39,Math
8,STU563,Computer Science Principles AP,9,82.9,Computer Science
9,STU563,Chemistry,9,87.88,Science
10,STU563,Modern World Honors: 1750 to the Present,9,91.86,Humanities
11,STU744,English I Honors,9,94.39,English
12,STU744,Latin I Honors,9,98.5,Foreign Language
13,STU744,Pre-Calculus Honors,9,94.03,Math
14,STU744,Computer Science Principles AP,9,97.21,Computer Science
15,STU744,Chemistry Honors,9,95.32,Science
16,STU744,World History AP,9,96.53,Humanities
17,STU681,English I Honors,9,95.77,English
18,STU681,Spanish II Honors,9,97.21,Foreign Language
19,STU681,Geometry,9,93.42,Math
20,STU681,Chemistry,9,93.77,Science
21,STU681,Human Geography AP,9,91.03,Humanities
22,STU69,English I Honors,9,84.2,English
23,STU69,Spanish II Honors,9,90.59,Foreign Language
24,STU69,Geometry,9,91.25,Math
25,STU69,Computer Science Principles AP,9,84.8,Computer Science
26,STU69,Chemistry,9,89.56,Science
27,STU69,Human Geography AP,9,87.88,Humanities
28,STU362,English I Honors,9,98.24,English
29,STU362,Spanish IV Honors - Heritage Speakers,9,99.86,Foreign Language
30,STU362,Geometry Honors,9,94.78,Math
31,STU362,Computer Science Principles AP,9,96.61,Computer Science
32,STU362,Chemistry Honors,9,98.74,Science
33,STU362,World History AP,9,98.78,Humanities
34,STU289,English I Honors,9,93.56,English
35,STU289,Spanish II,9,94.96,Foreign Language
36,STU289,Geometry Honors,9,86.7,Math
37,STU289,Chemistry,9,99.52,Science
38,STU289,Human Geography AP,9,92.77,Humanities
39,STU504,English I Honors,9,94.53,English
40,STU504,Latin I Honors,9,95.8,Foreign Language
41,STU504,Geometry,9,91.8,Math
42,STU504,Chemistry,9,90.76,Science
43,STU504,Human Geography AP,9,90.66,Humanities
44,STU429,English I Honors,9,93.07,English
45,STU429,French II Honors,9,91.32,Foreign Language
46,STU429,Geometry,9,94.6,Math
47,STU429,Chemistry Honors,9,83.36,Science
48,STU429,Human Geography AP,9,91.18,Humanities
49,STU526,English I Honors,9,91.8,English
50,STU526,Spanish II Honors,9,95.4,Foreign Language
51,STU526,Geometry Honors,9,90.61,Math
52,STU526,Chemistry Honors,9,91.84,Science
53,STU526,Human Geography AP,9,94.59,Humanities
54,STU380,English I Honors,9,96.65,English
55,STU380,Spanish IV Honors - Heritage Speakers,9,98.56,Foreign Language
56,STU380,Geometry Honors,9,88.33,Math
57,STU380,Computer Science Principles AP,9,94.63,Computer Science
58,STU380,Chemistry Honors,9,85.05,Science
59,STU380,Human Geography AP,9,94.75,Humanities
60,STU546,English I Honors,9,87.71,English
61,STU546,"Great Decisions, Character, and Consequences",9,100.0,Psychology
62,STU546,Spanish II,9,96.66,Foreign Language
63,STU546,Geometry Honors,9,81.43,Math
64,STU546,Chemistry,9,90.88,Science
65,STU546,Human Geography AP,9,90.12,Humanities
66,STU703,English I Honors,9,87.05,English
67,STU703,French II Honors,9,87.48,Foreign Language
68,STU703,Geometry Honors,9,77.69,Math
69,STU703,Chemistry Honors,9,79.24,Science
70,STU703,World History AP,9,86.53,Humanities
71,STU643,English I Honors,9,97.41,English
72,STU643,Latin I Honors,9,98.5,Foreign Language
73,STU643,Pre-Calculus Honors,9,94.19,Math
74,STU643,Computer Science Principles AP,9,99.46,Computer Science
75,STU643,Chemistry Honors,9,97.01,Science
76,STU643,Human Geography AP,9,94.55,Humanities
77,STU714,English I Honors,9,92.5,English
78,STU714,Spanish II Honors,9,94.24,Foreign Language
79,STU714,Geometry Honors,9,88.02,Math
80,STU714,Chemistry,9,98.06,Science
81,STU714,World History AP,9,96.73,Humanities
82,STU156,English I Honors,9,84.36,English
83,STU156,Chinese II,9,90.78,Foreign Language
84,STU156,Geometry,9,92.43,Math
85,STU156,Chemistry,9,90.74,Science
86,STU156,Human Geography AP,9,83.47,Humanities
87,STU775,English I Honors,9,97.02,English
88,STU775,Spanish II,9,97.31,Foreign Language
89,STU775,Geometry Honors,9,96.2,Math
90,STU775,Chemistry Honors,9,97.59,Science
91,STU775,World History AP,9,100.41,Humanities
92,STU348,English I Honors,9,96.56,English
93,STU348,Spanish II Honors,9,90.58,Foreign Language
94,STU348,Geometry Honors,9,97.28,Math
95,STU348,Computer Science Principles AP,9,98.83,Computer Science
96,STU348,Chemistry Honors,9,93.57,Science
97,STU348,World History AP,9,98.98,Humanities
98,STU735,English I Honors,9,94.6,English
99,STU735,Chinese II Honors,9,97.6,Foreign Language
100,STU735,Geometry Honors,9,91.28,Math
101,STU735,Chemistry Honors,9,86.54,Science
102,STU735,World History AP,9,92.86,Humanities
103,STU673,English I Honors,9,93.21,English
104,STU673,"Great Decisions, Character, and Consequences",9,100.0,Psychology
105,STU673,Chinese II Honors,9,93.85,Foreign Language
106,STU673,Geometry,9,92.53,Math
107,STU673,Chemistry,9,97.59,Science
108,STU673,Human Geography AP,9,91.21,Humanities
109,STU407,English I Honors,9,93.56,English
110,STU407,French III Honors,9,85.56,Foreign Language
111,STU407,Geometry,9,93.1,Math
112,STU407,Chemistry,9,92.34,Science
113,STU407,Human Geography AP,9,91.32,Humanities
114,STU373,English I Honors,9,85.66,English
115,STU373,Spanish II,9,92.73,Foreign Language
116,STU373,Geometry,9,92.31,Math
117,STU373,Computer Science Principles AP,9,94.14,Computer Science
118,STU373,Chemistry,9,88.59,Science
119,STU373,Modern World Honors: 1750 to the Present,9,90.03,Humanities
120,STU705,English I Honors,9,95.36,English
121,STU705,Spanish II Honors,9,93.21,Foreign Language
122,STU705,Geometry,9,84.02,Math
123,STU705,Chemistry,9,96.26,Science
124,STU705,Human Geography AP,9,86.68,Humanities
125,STU361,English I Honors,9,97.67,English
126,STU361,Spanish II Honors,9,94.32,Foreign Language
127,STU361,Geometry Honors,9,96.51,Math
128,STU361,Chemistry Honors,9,90.71,Science
129,STU361,World History AP,9,98.37,Humanities
130,STU319,English I Honors,9,83.8,English
131,STU319,Spanish IV Honors - Heritage Speakers,9,96.41,Foreign Language
132,STU319,Geometry,9,79.1,Math
133,STU319,Chemistry,9,87.5,Science
134,STU319,Human Geography AP,9,81.53,Humanities
135,STU498,English I Honors,9,89.83,English
136,STU498,Chinese II Honors,9,90.25,Foreign Language
137,STU498,Geometry Honors,9,89.77,Math
138,STU498,Chemistry Honors,9,81.56,Science
139,STU498,Human Geography AP,9,91.11,Humanities
140,STU807,English I Honors,9,95.15,English
141,STU807,Latin I Honors,9,88.26,Foreign Language
142,STU807,Geometry,9,87.92,Math
143,STU807,Computer Science Principles AP,9,90.02,Computer Science
144,STU807,Chemistry,9,96.98,Science
145,STU807,Human Geography AP,9,91.71,Humanities
146,STU736,English I Honors,9,97.62,English
147,STU736,Spanish II Honors,9,97.95,Foreign Language
148,STU736,Geometry Honors,9,91.13,Math
149,STU736,Chemistry Honors,9,95.84,Science
150,STU736,World History AP,9,97.96,Humanities
151,STU257,English I Honors,9,93.18,English
152,STU257,Spanish II Honors,9,95.56,Foreign Language
153,STU257,Geometry Honors,9,94.83,Math
154,STU257,Chemistry Honors,9,92.77,Science
155,STU257,World History AP,9,89.18,Humanities
156,STU707,English I Honors,9,91.62,English
157,STU707,Spanish II Honors,9,87.53,Foreign Language
158,STU707,Geometry Honors,9,87.19,Math
159,STU707,Computer Science Principles AP,9,97.69,Computer Science
160,STU707,Chemistry Honors,9,90.57,Science
161,STU707,Human Geography AP,9,89.08,Humanities
162,STU209,English I Honors,9,94.65,English
163,STU209,Spanish II Honors,9,90.47,Foreign Language
164,STU209,Geometry Honors,9,89.66,Math
165,STU209,Chemistry Honors,9,86.54,Science
166,STU209,Human Geography AP,9,81.55,Humanities
167,STU693,English I Honors,9,94.71,English
168,STU693,Latin I Honors,9,99.25,Foreign Language
169,STU693,Geometry Honors,9,91.6,Math
170,STU693,Computer Science Principles AP,9,96.38,Computer Science
171,STU693,Chemistry Honors,9,89.39,Science
172,STU693,Human Geography AP,9,94.84,Humanities
173,STU812,English I Honors,9,93.12,English
