index,Course,Grade,Section_Grade,Course_Type,Cluster
0,English I Honors,9,96.67,English,1
1,French II Honors,9,87.92,Foreign Language,0
2,Computer Science Principles AP,9,86.02,Science,2
3,Chemistry,9,88.89,Science,0
4,Human Geography AP,9,88.49,Humanities,0
5,English I Honors,9,87.92,English,0
6,Spanish II Honors,9,81.27,Foreign Language,2
7,Geometry,9,82.39,Math,2
8,Computer Science Principles AP,9,82.9,Science,2
9,Chemistry,9,87.88,Science,0
10,Modern World Honors: 1750 to the Present,9,91.86,Humanities,0
11,English I Honors,9,94.39,English,1
12,Latin I Honors,9,98.5,Foreign Language,1
13,Pre-Calculus Honors,9,94.03,Math,1
14,Computer Science Principles AP,9,97.21,Science,1
15,Chemistry Honors,9,95.32,Science,1
16,World History AP,9,96.53,Humanities,1
17,English I Honors,9,95.77,English,1
18,Spanish II Honors,9,97.21,Foreign Language,1
19,Geometry,9,93.42,Math,1
20,Chemistry,9,93.77,Science,1
21,Human Geography AP,9,91.03,Humanities,0
22,English I Honors,9,84.2,English,2
23,Spanish II Honors,9,90.59,Foreign Language,0
24,Geometry,9,91.25,Math,0
25,Computer Science Principles AP,9,84.8,Science,2
26,Chemistry,9,89.56,Science,0
27,Human Geography AP,9,87.88,Humanities,0
28,English I Honors,9,98.24,English,1
29,Spanish IV Honors - Heritage Speakers,9,99.86,Foreign Language,1
30,Geometry Honors,9,94.78,Math,1
31,Computer Science Principles AP,9,96.61,Science,1
32,Chemistry Honors,9,98.74,Science,1
33,World History AP,9,98.78,Humanities,1
34,English I Honors,9,93.56,English,1
35,Spanish II,9,94.96,Foreign Language,1
36,Geometry Honors,9,86.7,Math,0
37,Chemistry,9,99.52,Science,1
38,Human Geography AP,9,92.77,Humanities,0
39,English I Honors,9,94.53,English,1
40,Latin I Honors,9,95.8,Foreign Language,1
41,Geometry,9,91.8,Math,0
42,Chemistry,9,90.76,Science,0
43,Human Geography AP,9,90.66,Humanities,0
44,English I Honors,9,93.07,English,0
45,French II Honors,9,91.32,Foreign Language,0
46,Geometry,9,94.6,Math,1
47,Chemistry Honors,9,83.36,Science,2
48,Human Geography AP,9,91.18,Humanities,0
49,English I Honors,9,91.8,English,0
50,Spanish II Honors,9,95.4,Foreign Language,1
51,Geometry Honors,9,90.61,Math,0
52,Chemistry Honors,9,91.84,Science,0
53,Human Geography AP,9,94.59,Humanities,1
54,English I Honors,9,96.65,English,1
55,Spanish IV Honors - Heritage Speakers,9,98.56,Foreign Language,1
56,Geometry Honors,9,88.33,Math,0
57,Computer Science Principles AP,9,94.63,Science,1
58,Chemistry Honors,9,85.05,Science,2
59,Human Geography AP,9,94.75,Humanities,1
60,English I Honors,9,87.71,English,0
61,"Great Decisions, Character, and Consequences",9,100.0,Psychology,1
62,Spanish II,9,96.66,Foreign Language,1
63,Geometry Honors,9,81.43,Math,2
64,Chemistry,9,90.88,Science,0
65,Human Geography AP,9,90.12,Humanities,0
66,English I Honors,9,87.05,English,0
67,French II Honors,9,87.48,Foreign Language,0
68,Geometry Honors,9,77.69,Math,2
69,Chemistry Honors,9,79.24,Science,2
70,World History AP,9,86.53,Humanities,2
71,English I Honors,9,97.41,English,1
72,Latin I Honors,9,98.5,Foreign Language,1
73,Pre-Calculus Honors,9,94.19,Math,1
74,Computer Science Principles AP,9,99.46,Science,1
75,Chemistry Honors,9,97.01,Science,1
76,Human Geography AP,9,94.55,Humanities,1
77,English I Honors,9,92.5,English,0
78,Spanish II Honors,9,94.24,Foreign Language,1
79,Geometry Honors,9,88.02,Math,0
80,Chemistry,9,98.06,Science,1
81,World History AP,9,96.73,Humanities,1
82,English I Honors,9,84.36,English,2
83,Chinese II,9,90.78,Foreign Language,0
84,Geometry,9,92.43,Math,0
85,Chemistry,9,90.74,Science,0
86,Human Geography AP,9,83.47,Humanities,2
87,English I Honors,9,97.02,English,1
88,Spanish II,9,97.31,Foreign Language,1
89,Geometry Honors,9,96.2,Math,1
90,Chemistry Honors,9,97.59,Science,1
91,World History AP,9,100.41,Humanities,1
92,English I Honors,9,96.56,English,1
93,Spanish II Honors,9,90.58,Foreign Language,0
94,Geometry Honors,9,97.28,Math,1
95,Computer Science Principles AP,9,98.83,Science,1
96,Chemistry Honors,9,93.57,Science,1
97,World History AP,9,98.98,Humanities,1
98,English I Honors,9,94.6,English,1
99,Chinese II Honors,9,97.6,Foreign Language,1
100,Geometry Honors,9,91.28,Math,0
101,Chemistry Honors,9,86.54,Science,2
102,World History AP,9,92.86,Humanities,0
103,English I Honors,9,93.21,English,0
104,"Great Decisions, Character, and Consequences",9,100.0,Psychology,1
105,Chinese II Honors,9,93.85,Foreign Language,1
106,Geometry,9,92.53,Math,0
107,Chemistry,9,97.59,Science,1
108,Human Geography AP,9,91.21,Humanities,0
109,English I Honors,9,93.56,English,1
110,French III Honors,9,85.56,Foreign Language,2
111,Geometry,9,93.1,Math,0
112,Chemistry,9,92.34,Science,0
113,Human Geography AP,9,91.32,Humanities,0
114,English I Honors,9,85.66,English,2
115,Spanish II,9,92.73,Foreign Language,0
116,Geometry,9,92.31,Math,0
117,Computer Science Principles AP,9,94.14,Science,1
118,Chemistry,9,88.59,Science,0
119,Modern World Honors: 1750 to the Present,9,90.03,Humanities,0
